elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.409857,3.96022,-0.377642,-0.0755409,7.69695,-1.01172,-0.110154,3.79014,-0.0346132,4.32345,0,0.21093,6.51158,0.332684,0.323564,152.699997,163.610001,158.154999,673.000000,332.414,352.484,342.449,1329.02,184.294,656.019
0.429763,4.2218,-0.375467,-0.062678,8.22778,-1.03325,-0.0817676,4.05962,-0.0190896,3.01026,0,0.233852,6.92158,0.41467,0.402328,158.490005,169.100006,163.795006,523.000000,351.901,376.781,364.341,1426.19,200.546,903.195
0.449628,4.53875,-0.390309,-0.0440833,8.78557,-1.03566,-0.0491077,4.29558,-0.00502444,4.56631,0,0.25531,6.90803,0.4353,0.4248,77.180000,1146.790039,611.985020,786.000000,352.671,379.043,365.857,1282.62,-246.128,496.617
0.469527,4.78919,-0.399443,-0.0256141,9.32196,-1.01749,-0.01514,4.57471,0.0104741,2.35873,0,0.243295,6.62372,0.443351,0.42955,177.149994,173.029999,175.089996,541.000000,337.898,364.817,351.358,1186.88,176.268,645.876
0.489434,5.0042,-0.388342,-0.0126435,9.84149,-0.980303,0.0195041,4.87338,0.0321476,3.01721,0,0.250719,6.31397,0.471088,0.454436,161.710007,176.979996,169.345001,523.000000,321.636,349.999,335.818,1156.46,166.473,633.459
0.509233,5.26813,-0.37694,0.016538,10.3324,-0.924244,0.055389,5.09377,0.038851,4.62094,0,0.300605,6.40515,0.48332,0.465224,154.550003,164.110001,159.330002,790.000000,327.141,356.385,341.763,1088.13,182.433,298.127
0.529136,5.62716,-0.352056,0.0414739,10.8276,-0.848926,0.0922479,5.22414,0.050774,2.34317,0,0.290109,6.21832,0.48822,0.470997,160.669998,181.210007,170.940002,453.000000,313.623,342.822,328.222,1277.58,157.282,824.584
0.549009,5.87746,-0.33841,0.0653372,11.3255,-0.75491,0.128889,5.46394,0.0635521,3.91846,0,0.290856,6.506,0.485672,0.46391,156.429993,171.259995,163.844994,866.000000,330.325,359.329,344.827,1153.24,180.982,287.237
0.568836,6.18365,-0.30371,0.0866039,11.8153,-0.644199,0.164876,5.64198,0.0782725,2.53021,0,0.307262,6.08494,0.456512,0.437131,162.630005,183.660004,173.145004,508.000000,310.178,337.702,323.94,1064.2,150.795,556.203
0.58873,6.48287,-0.26247,0.112983,12.2723,-0.526183,0.196732,5.79544,0.0837495,5.01164,0,0.284059,5.86809,0.41069,0.390951,190.960007,174.679993,182.820000,786.000000,298.621,323.048,310.834,1115.38,128.014,329.382
0.608646,6.69849,-0.202721,0.135359,12.7157,-0.398126,0.226756,6.02042,0.0913968,3.46671,0,0.318179,5.74589,0.38295,0.364319,160.919998,178.979996,169.949997,713.000000,292.832,315.63,304.231,1092.88,134.281,379.878
0.628473,7.04082,-0.151956,0.157708,13.1486,-0.26239,0.253766,6.1088,0.0960583,3.50952,0,0.306548,5.59895,0.34068,0.32401,169.839996,185.130005,177.485001,588.000000,286.118,306.566,296.342,1087.73,118.857,499.726
0.648342,7.29138,-0.0963006,0.176686,13.5839,-0.116265,0.278625,6.29258,0.101939,4.27219,0,0.230058,5.95035,0.321297,0.307789,175.660004,190.639999,183.150002,650.000000,303.233,322.484,312.858,1221.37,129.708,571.367
0.668273,7.63172,-0.0234512,0.200575,14.0376,0.044798,0.301628,6.40623,0.101054,4.03945,0,0.232486,6.28259,0.292828,0.278429,158.529999,194.339996,176.434998,757.000000,320.464,337.89,329.177,1378.21,152.742,621.213
0.68814,7.95125,0.0496136,0.222367,14.5315,0.227612,0.322449,6.58262,0.100083,4.23093,0,0.240377,6.77941,0.255031,0.245198,195.860001,210.789993,203.324997,731.000000,347.865,363.277,355.571,1402.62,152.246,671.621
