x,y,z
-8.552312587786354,-49.51035668792924,5
-8.75217110530626,-48.71092261784961,5
-8.902064993446189,-47.761594659630056,5
-9.151888140346074,-47.062089848310386,5
-9.45167591662593,-46.262655778230766,5
-9.751463692905794,-45.41325707877116,5
-10.001286839805672,-44.563858379311554,5
-10.1511807279456,-43.91431819737186,5
-10.401003874845486,-43.214813386052185,5
-10.700791651125343,-42.465343945352544,5
-11.000579427405206,-41.71587450465289,5
-11.100508686165156,-41.066334322713196,5
-11.350331833065042,-40.416794140773504,5
-11.550190350584948,-39.767253958833805,5
-11.700084238724877,-39.16767840627409,5
-11.899942756244783,-38.31827970681449,5
-12.19973053252464,-37.768668783634745,5
-12.449553679424525,-37.06916397231507,5
-12.649412196944432,-36.26972990223545,5
-12.849270714464339,-35.27043731463591,5
-12.949199973224289,-34.72082639145617,5
-13.049129231984246,-34.0213215801365,5
-13.049129231984246,-33.52167528633674,5
-13.099093861364224,-32.82217047501707,5
-13.149058490744196,-31.97277177555746,5
-13.199023120124174,-31.123373076097863,5
-13.298952378884124,-30.373903635398214,5
-13.248987749504153,-29.624434194698566,5
-13.248987749504153,-28.62514160709903,5
-13.099093861364217,-27.72577827825946,5
-12.99916460260426,-26.926344208179835,5
-12.949199973224282,-26.12691013810021,5
-12.89923534384431,-25.177582179880655,5
-12.749341455704375,-23.878501816001265,5
-12.599447567564447,-23.029103116541663,5
-12.549482938184468,-22.229669046462035,5
-12.39958905004454,-21.380270347002433,5
-12.29965979128459,-20.58083627692281,5
-12.099801273764683,-19.68147294808323,5
-11.849978126864798,-18.832074248623627,5
-11.650119609344891,-17.982675549164025,5
-11.550190350584941,-17.233206108464376,5
-11.350331833065034,-16.233913520864846,5
-11.200437944925106,-15.334550192025265,5
-11.050544056785178,-14.535116121945642,5
-10.750756280505314,-13.785646681245993,5
-10.650827021745364,-12.63646020550653,5
-10.450968504225457,-11.687132247286975,5
-10.101216098565622,-10.537945771547513,5
-9.601569804765852,-9.688547072087914,5
-9.101923510966088,-8.68925448448838,5
-8.502347958406368,-7.739926526268825,5
-7.9027724058466475,-6.740633938669291,5
-7.403126112046884,-5.541482833549857,5
-6.803550559487164,-4.442260987190366,5
-6.203975006927443,-3.542897658350789,5
-5.254647048707888,-2.5935697001312334,5
-4.205389831728382,-1.6442417419116744,5
-3.2060972441288484,-1.0446661893519575,5
-1.9070168802494578,-0.3951260074122622,5
-0.8577596632699525,-0.24523211927233035,5
0.49128532998941665,0.0045910276275513695,5
1.5905071763489005,0.0045910276275513695,5
2.7896582814683413,0.10452028638750477,5
4.13870327472771,0.15448491576748324,5
5.187960491707216,0.15448491576748324,5
6.237217708686728,-0.09533823113240203,5
6.986687149386377,-0.3451613780322873,5
7.985979736985911,-0.3951260074122622,5
8.83537843644551,-0.7448784130720973,5
9.784706394665065,-1.2944893362518428,5
