tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,10.71,1.15,0,0.01,0.01,0.0
blue,14.90,1.22,0,0.01,0.01,0.0
blue,19.31,1.62,0,0.01,0.01,0.0
blue,23.59,2.11,0,0.01,0.01,0.0
blue,26.44,2.22,0,0.01,0.01,0.0
blue,28.49,2.00,0,0.01,0.01,0.0
blue,30.07,1.52,0,0.01,0.01,0.0
blue,31.46,0.77,0,0.01,0.01,0.0
blue,32.73,-0.29,0,0.01,0.01,0.0
blue,34.01,-1.87,0,0.01,0.01,0.0
blue,35.24,-4.11,0,0.01,0.01,0.0
blue,36.46,-7.17,0,0.01,0.01,0.0
blue,37.66,-11.06,0,0.01,0.01,0.0
blue,38.88,-15.59,0,0.01,0.01,0.0
blue,40.11,-20.39,0,0.01,0.01,0.0
blue,41.34,-25.00,0,0.01,0.01,0.0
blue,42.63,-29.48,0,0.01,0.01,0.0
blue,44.05,-33.95,0,0.01,0.01,0.0
blue,45.61,-38.27,0,0.01,0.01,0.0
blue,47.28,-42.28,0,0.01,0.01,0.0
blue,49.14,-46.06,0,0.01,0.01,0.0
blue,51.04,-49.19,0,0.01,0.01,0.0
blue,53.10,-51.75,0,0.01,0.01,0.0
blue,54.76,-53.14,0,0.01,0.01,0.0
blue,55.86,-53.64,0,0.01,0.01,0.0
blue,56.60,-53.69,0,0.01,0.01,0.0
blue,57.17,-53.48,0,0.01,0.01,0.0
blue,57.94,-52.78,0,0.01,0.01,0.0
blue,58.87,-51.10,0,0.01,0.01,0.0
blue,59.68,-48.31,0,0.01,0.01,0.0
blue,60.19,-44.59,0,0.01,0.01,0.0
blue,60.38,-40.40,0,0.01,0.01,0.0
blue,60.34,-35.84,0,0.01,0.01,0.0
blue,60.17,-30.84,0,0.01,0.01,0.0
blue,60.12,-26.82,0,0.01,0.01,0.0
blue,60.31,-23.60,0,0.01,0.01,0.0
blue,60.75,-21.33,0,0.01,0.01,0.0
blue,61.41,-19.57,0,0.01,0.01,0.0
blue,62.18,-18.36,0,0.01,0.01,0.0
blue,63.16,-17.35,0,0.01,0.01,0.0
blue,64.42,-16.52,0,0.01,0.01,0.0
blue,66.15,-15.83,0,0.01,0.01,0.0
blue,68.65,-15.33,0,0.01,0.01,0.0
blue,72.42,-15.02,0,0.01,0.01,0.0
blue,77.04,-14.76,0,0.01,0.01,0.0
blue,80.84,-14.30,0,0.01,0.01,0.0
blue,84.09,-13.51,0,0.01,0.01,0.0
blue,86.80,-12.35,0,0.01,0.01,0.0
blue,89.02,-10.81,0,0.01,0.01,0.0
blue,91.03,-8.69,0,0.01,0.01,0.0
blue,93.41,-5.30,0,0.01,0.01,0.0
blue,95.58,-2.28,0,0.01,0.01,0.0
blue,97.99,0.53,0,0.01,0.01,0.0
blue,101.13,3.78,0,0.01,0.01,0.0
blue,103.88,6.75,0,0.01,0.01,0.0
blue,105.65,9.21,0,0.01,0.01,0.0
blue,106.48,11.09,0,0.01,0.01,0.0
blue,106.65,12.47,0,0.01,0.01,0.0
blue,106.41,13.57,0,0.01,0.01,0.0
blue,105.69,14.71,0,0.01,0.01,0.0
blue,104.26,15.91,0,0.01,0.01,0.0
blue,101.82,17.12,0,0.01,0.01,0.0
blue,98.55,18.08,0,0.01,0.01,0.0
blue,94.65,18.75,0,0.01,0.01,0.0
blue,90.35,19.14,0,0.01,0.01,0.0
blue,85.69,19.32,0,0.01,0.01,0.0
blue,80.98,19.40,0,0.01,0.01,0.0
blue,76.70,19.56,0,0.01,0.01,0.0
blue,73.60,19.91,0,0.01,0.01,0.0
blue,71.59,20.42,0,0.01,0.01,0.0
blue,70.06,21.11,0,0.01,0.01,0.0
blue,69.05,21.86,0,0.01,0.01,0.0
blue,68.22,22.79,0,0.01,0.01,0.0
blue,67.58,23.99,0,0.01,0.01,0.0
blue,67.19,25.44,0,0.01,0.01,0.0
blue,67.05,27.54,0,0.01,0.01,0.0
blue,67.32,30.41,0,0.01,0.01,0.0
blue,68.09,34.72,0,0.01,0.01,0.0
blue,68.91,39.12,0,0.01,0.01,0.0
blue,69.43,43.21,0,0.01,0.01,0.0
blue,69.46,46.34,0,0.01,0.01,0.0
blue,69.07,48.52,0,0.01,0.01,0.0
blue,68.50,49.68,0,0.01,0.01,0.0
blue,67.97,50.18,0,0.01,0.01,0.0
blue,67.38,50.40,0,0.01,0.01,0.0
blue,66.26,50.36,0,0.01,0.01,0.0
blue,64.44,49.69,0,0.01,0.01,0.0
blue,61.89,48.04,0,0.01,0.01,0.0
blue,59.14,45.63,0,0.01,0.01,0.0
blue,56.23,42.54,0,0.01,0.01,0.0
blue,53.58,39.32,0,0.01,0.01,0.0
blue,50.82,35.61,0,0.01,0.01,0.0
blue,48.17,31.78,0,0.01,0.01,0.0
blue,45.40,27.60,0,0.01,0.01,0.0
blue,42.72,23.55,0,0.01,0.01,0.0
blue,40.38,20.23,0,0.01,0.01,0.0
blue,38.40,17.81,0,0.01,0.01,0.0
blue,36.76,16.26,0,0.01,0.01,0.0
blue,35.39,15.36,0,0.01,0.01,0.0
blue,34.18,14.89,0,0.01,0.01,0.0
blue,33.03,14.71,0,0.01,0.01,0.0
blue,31.76,14.82,0,0.01,0.01,0.0
blue,30.55,15.21,0,0.01,0.01,0.0
blue,28.97,16.13,0,0.01,0.01,0.0
blue,27.15,17.69,0,0.01,0.01,0.0
blue,24.67,20.39,0,0.01,0.01,0.0
blue,21.71,23.96,0,0.01,0.01,0.0
blue,18.68,27.55,0,0.01,0.01,0.0
blue,15.79,30.66,0,0.01,0.01,0.0
blue,12.89,33.32,0,0.01,0.01,0.0
blue,10.12,35.35,0,0.01,0.01,0.0
blue,7.58,36.63,0,0.01,0.01,0.0
blue,5.50,37.16,0,0.01,0.01,0.0
blue,3.84,37.11,0,0.01,0.01,0.0
blue,2.31,36.57,0,0.01,0.01,0.0
blue,0.82,35.45,0,0.01,0.01,0.0
blue,-1.01,33.19,0,0.01,0.01,0.0
blue,-3.22,29.83,0,0.01,0.01,0.0
blue,-4.89,27.72,0,0.01,0.01,0.0
blue,-6.46,26.26,0,0.01,0.01,0.0
blue,-8.32,25.05,0,0.01,0.01,0.0
blue,-10.47,24.12,0,0.01,0.01,0.0
blue,-13.27,23.37,0,0.01,0.01,0.0
blue,-16.70,22.85,0,0.01,0.01,0.0
blue,-21.00,22.46,0,0.01,0.01,0.0
blue,-25.87,22.14,0,0.01,0.01,0.0
blue,-30.70,21.77,0,0.01,0.01,0.0
blue,-35.31,21.28,0,0.01,0.01,0.0
blue,-39.74,20.62,0,0.01,0.01,0.0
blue,-43.91,19.78,0,0.01,0.01,0.0
blue,-48.05,18.68,0,0.01,0.01,0.0
blue,-51.87,17.35,0,0.01,0.01,0.0
blue,-55.26,15.79,0,0.01,0.01,0.0
blue,-58.19,13.98,0,0.01,0.01,0.0
blue,-60.30,12.13,0,0.01,0.01,0.0
blue,-61.53,10.43,0,0.01,0.01,0.0
blue,-62.04,9.05,0,0.01,0.01,0.0
blue,-62.08,7.82,0,0.01,0.01,0.0
blue,-61.65,6.54,0,0.01,0.01,0.0
blue,-60.64,5.19,0,0.01,0.01,0.0
blue,-58.76,3.71,0,0.01,0.01,0.0
blue,-55.90,2.27,0,0.01,0.01,0.0
blue,-52.56,1.17,0,0.01,0.01,0.0
blue,-48.63,0.30,0,0.01,0.01,0.0
blue,-44.45,-0.27,0,0.01,0.01,0.0
blue,-39.96,-0.59,0,0.01,0.01,0.0
blue,-35.53,-0.69,0,0.01,0.01,0.0
blue,-31.02,-0.61,0,0.01,0.01,0.0
blue,-26.32,-0.38,0,0.01,0.01,0.0
blue,-21.53,-0.03,0,0.01,0.01,0.0
blue,-16.57,0.42,0,0.01,0.01,0.0
blue,-11.60,0.88,0,0.01,0.01,0.0
blue,-7.10,1.24,0,0.01,0.01,0.0
blue,-2.61,1.46,0,0.01,0.01,0.0
blue,1.64,1.49,0,0.01,0.01,0.0
yellow,10.43,-1.85,0,0.01,0.01,0.0
yellow,14.35,-1.81,0,0.01,0.01,0.0
yellow,18.38,-1.50,0,0.01,0.01,0.0
yellow,22.91,-0.97,0,0.01,0.01,0.0
yellow,26.35,-0.77,0,0.01,0.01,0.0
yellow,28.39,-1.06,0,0.01,0.01,0.0
yellow,29.72,-1.67,0,0.01,0.01,0.0
yellow,31.00,-2.84,0,0.01,0.01,0.0
yellow,32.36,-5.03,0,0.01,0.01,0.0
yellow,33.68,-8.31,0,0.01,0.01,0.0
yellow,34.94,-12.47,0,0.01,0.01,0.0
yellow,36.15,-17.03,0,0.01,0.01,0.0
yellow,37.41,-21.90,0,0.01,0.01,0.0
yellow,38.60,-26.33,0,0.01,0.01,0.0
yellow,39.92,-30.89,0,0.01,0.01,0.0
yellow,41.21,-34.91,0,0.01,0.01,0.0
yellow,42.71,-39.09,0,0.01,0.01,0.0
yellow,44.33,-43.04,0,0.01,0.01,0.0
yellow,45.95,-46.44,0,0.01,0.01,0.0
yellow,47.76,-49.64,0,0.01,0.01,0.0
yellow,49.63,-52.33,0,0.01,0.01,0.0
yellow,51.31,-54.20,0,0.01,0.01,0.0
yellow,52.92,-55.52,0,0.01,0.01,0.0
yellow,54.33,-56.28,0,0.01,0.01,0.0
yellow,55.53,-56.63,0,0.01,0.01,0.0
yellow,56.62,-56.70,0,0.01,0.01,0.0
yellow,57.69,-56.51,0,0.01,0.01,0.0
yellow,58.68,-56.07,0,0.01,0.01,0.0
yellow,59.65,-55.34,0,0.01,0.01,0.0
yellow,60.55,-54.30,0,0.01,0.01,0.0
yellow,61.47,-52.65,0,0.01,0.01,0.0
yellow,62.30,-50.25,0,0.01,0.01,0.0
yellow,62.90,-47.31,0,0.01,0.01,0.0
yellow,63.26,-43.67,0,0.01,0.01,0.0
yellow,63.39,-39.63,0,0.01,0.01,0.0
yellow,63.32,-35.16,0,0.01,0.01,0.0
yellow,63.15,-30.21,0,0.01,0.01,0.0
yellow,63.14,-25.97,0,0.01,0.01,0.0
yellow,63.47,-22.82,0,0.01,0.01,0.0
yellow,64.05,-21.00,0,0.01,0.01,0.0
yellow,64.84,-19.87,0,0.01,0.01,0.0
yellow,65.94,-19.11,0,0.01,0.01,0.0
yellow,68.00,-18.47,0,0.01,0.01,0.0
yellow,71.53,-18.08,0,0.01,0.01,0.0
yellow,76.15,-17.83,0,0.01,0.01,0.0
yellow,79.83,-17.49,0,0.01,0.01,0.0
yellow,83.10,-16.90,0,0.01,0.01,0.0
yellow,85.88,-16.06,0,0.01,0.01,0.0
yellow,88.24,-14.98,0,0.01,0.01,0.0
yellow,90.29,-13.64,0,0.01,0.01,0.0
yellow,92.08,-12.04,0,0.01,0.01,0.0
yellow,93.99,-9.76,0,0.01,0.01,0.0
yellow,96.32,-6.35,0,0.01,0.01,0.0
yellow,98.69,-3.21,0,0.01,0.01,0.0
yellow,101.48,-0.15,0,0.01,0.01,0.0
yellow,104.62,3.08,0,0.01,0.01,0.0
yellow,106.80,5.59,0,0.01,0.01,0.0
yellow,108.30,7.80,0,0.01,0.01,0.0
yellow,109.15,9.63,0,0.01,0.01,0.0
yellow,109.57,11.21,0,0.01,0.01,0.0
yellow,109.64,12.61,0,0.01,0.01,0.0
yellow,109.42,14.01,0,0.01,0.01,0.0
yellow,108.94,15.25,0,0.01,0.01,0.0
yellow,108.11,16.50,0,0.01,0.01,0.0
yellow,106.80,17.78,0,0.01,0.01,0.0
yellow,105.15,18.88,0,0.01,0.01,0.0
yellow,102.73,19.98,0,0.01,0.01,0.0
yellow,99.75,20.88,0,0.01,0.01,0.0
yellow,96.40,21.53,0,0.01,0.01,0.0
yellow,92.39,22.00,0,0.01,0.01,0.0
yellow,88.24,22.25,0,0.01,0.01,0.0
yellow,83.54,22.36,0,0.01,0.01,0.0
yellow,78.88,22.45,0,0.01,0.01,0.0
yellow,75.02,22.73,0,0.01,0.01,0.0
yellow,72.47,23.29,0,0.01,0.01,0.0
yellow,71.25,23.92,0,0.01,0.01,0.0
yellow,70.62,24.60,0,0.01,0.01,0.0
yellow,70.19,25.70,0,0.01,0.01,0.0
yellow,70.07,27.93,0,0.01,0.01,0.0
yellow,70.55,31.59,0,0.01,0.01,0.0
yellow,71.43,36.18,0,0.01,0.01,0.0
yellow,72.11,40.21,0,0.01,0.01,0.0
yellow,72.47,43.66,0,0.01,0.01,0.0
yellow,72.45,46.57,0,0.01,0.01,0.0
yellow,72.12,48.76,0,0.01,0.01,0.0
yellow,71.58,50.34,0,0.01,0.01,0.0
yellow,70.90,51.49,0,0.01,0.01,0.0
yellow,70.18,52.27,0,0.01,0.01,0.0
yellow,69.30,52.87,0,0.01,0.01,0.0
yellow,68.16,53.30,0,0.01,0.01,0.0
yellow,67.08,53.43,0,0.01,0.01,0.0
yellow,65.68,53.30,0,0.01,0.01,0.0
yellow,63.82,52.71,0,0.01,0.01,0.0
yellow,61.75,51.60,0,0.01,0.01,0.0
yellow,59.44,49.92,0,0.01,0.01,0.0
yellow,56.89,47.63,0,0.01,0.01,0.0
yellow,54.29,44.88,0,0.01,0.01,0.0
yellow,51.54,41.57,0,0.01,0.01,0.0
yellow,49.00,38.22,0,0.01,0.01,0.0
yellow,46.41,34.54,0,0.01,0.01,0.0
yellow,43.70,30.48,0,0.01,0.01,0.0
yellow,41.09,26.50,0,0.01,0.01,0.0
yellow,38.52,22.76,0,0.01,0.01,0.0
yellow,36.20,19.84,0,0.01,0.01,0.0
yellow,34.51,18.33,0,0.01,0.01,0.0
yellow,33.40,17.78,0,0.01,0.01,0.0
yellow,32.59,17.72,0,0.01,0.01,0.0
yellow,31.55,18.06,0,0.01,0.01,0.0
yellow,29.79,19.33,0,0.01,0.01,0.0
yellow,27.27,21.97,0,0.01,0.01,0.0
yellow,24.26,25.58,0,0.01,0.01,0.0
yellow,21.31,29.09,0,0.01,0.01,0.0
yellow,18.58,32.10,0,0.01,0.01,0.0
yellow,15.89,34.70,0,0.01,0.01,0.0
yellow,13.32,36.80,0,0.01,0.01,0.0
yellow,10.89,38.37,0,0.01,0.01,0.0
yellow,8.65,39.43,0,0.01,0.01,0.0
yellow,6.72,40.00,0,0.01,0.01,0.0
yellow,4.85,40.20,0,0.01,0.01,0.0
yellow,3.20,40.04,0,0.01,0.01,0.0
yellow,1.68,39.59,0,0.01,0.01,0.0
yellow,0.13,38.75,0,0.01,0.01,0.0
yellow,-1.35,37.52,0,0.01,0.01,0.0
yellow,-2.96,35.63,0,0.01,0.01,0.0
yellow,-5.13,32.37,0,0.01,0.01,0.0
yellow,-7.04,29.81,0,0.01,0.01,0.0
yellow,-8.75,28.29,0,0.01,0.01,0.0
yellow,-10.92,27.15,0,0.01,0.01,0.0
yellow,-13.87,26.31,0,0.01,0.01,0.0
yellow,-17.86,25.74,0,0.01,0.01,0.0
yellow,-22.46,25.37,0,0.01,0.01,0.0
yellow,-27.27,25.05,0,0.01,0.01,0.0
yellow,-31.87,24.67,0,0.01,0.01,0.0
yellow,-36.23,24.18,0,0.01,0.01,0.0
yellow,-40.44,23.54,0,0.01,0.01,0.0
yellow,-44.40,22.75,0,0.01,0.01,0.0
yellow,-48.41,21.71,0,0.01,0.01,0.0
