tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,10.83,1.47,0,0.01,0.01,0.0
blue,15.62,1.53,0,0.01,0.01,0.0
blue,20.32,1.71,0,0.01,0.01,0.0
blue,25.09,1.98,0,0.01,0.01,0.0
blue,29.24,2.13,0,0.01,0.01,0.0
blue,32.53,2.01,0,0.01,0.01,0.0
blue,35.42,1.58,0,0.01,0.01,0.0
blue,38.01,0.82,0,0.01,0.01,0.0
blue,40.51,-0.30,0,0.01,0.01,0.0
blue,43.19,-1.93,0,0.01,0.01,0.0
blue,46.17,-4.15,0,0.01,0.01,0.0
blue,49.82,-7.11,0,0.01,0.01,0.0
blue,53.33,-9.83,0,0.01,0.01,0.0
blue,56.78,-12.15,0,0.01,0.01,0.0
blue,60.23,-14.04,0,0.01,0.01,0.0
blue,63.89,-15.64,0,0.01,0.01,0.0
blue,68.15,-17.17,0,0.01,0.01,0.0
blue,72.62,-18.71,0,0.01,0.01,0.0
blue,76.62,-20.24,0,0.01,0.01,0.0
blue,80.59,-21.94,0,0.01,0.01,0.0
blue,84.80,-23.89,0,0.01,0.01,0.0
blue,89.22,-26.01,0,0.01,0.01,0.0
blue,93.62,-28.08,0,0.01,0.01,0.0
blue,97.87,-29.96,0,0.01,0.01,0.0
blue,102.01,-31.62,0,0.01,0.01,0.0
blue,106.11,-33.02,0,0.01,0.01,0.0
blue,109.84,-34.00,0,0.01,0.01,0.0
blue,113.36,-34.56,0,0.01,0.01,0.0
blue,116.28,-34.56,0,0.01,0.01,0.0
blue,118.10,-34.14,0,0.01,0.01,0.0
blue,119.06,-33.58,0,0.01,0.01,0.0
blue,119.52,-32.99,0,0.01,0.01,0.0
blue,119.75,-32.23,0,0.01,0.01,0.0
blue,119.66,-30.85,0,0.01,0.01,0.0
blue,118.85,-28.70,0,0.01,0.01,0.0
blue,117.20,-26.06,0,0.01,0.01,0.0
blue,114.86,-23.25,0,0.01,0.01,0.0
blue,112.02,-20.40,0,0.01,0.01,0.0
blue,108.63,-17.46,0,0.01,0.01,0.0
blue,105.27,-14.85,0,0.01,0.01,0.0
blue,101.40,-12.09,0,0.01,0.01,0.0
blue,97.58,-9.58,0,0.01,0.01,0.0
blue,93.69,-7.16,0,0.01,0.01,0.0
blue,89.32,-4.58,0,0.01,0.01,0.0
blue,85.11,-2.18,0,0.01,0.01,0.0
blue,81.01,0.16,0,0.01,0.01,0.0
blue,77.21,2.42,0,0.01,0.01,0.0
blue,74.25,4.41,0,0.01,0.01,0.0
blue,72.31,6.03,0,0.01,0.01,0.0
blue,71.14,7.38,0,0.01,0.01,0.0
blue,70.44,8.59,0,0.01,0.01,0.0
blue,70.12,9.65,0,0.01,0.01,0.0
blue,70.06,10.75,0,0.01,0.01,0.0
blue,70.26,11.84,0,0.01,0.01,0.0
blue,70.76,12.98,0,0.01,0.01,0.0
blue,71.77,14.40,0,0.01,0.01,0.0
blue,73.63,16.21,0,0.01,0.01,0.0
blue,76.37,18.30,0,0.01,0.01,0.0
blue,80.10,20.80,0,0.01,0.01,0.0
blue,84.17,23.40,0,0.01,0.01,0.0
blue,88.32,26.08,0,0.01,0.01,0.0
blue,92.12,28.63,0,0.01,0.01,0.0
blue,95.89,31.29,0,0.01,0.01,0.0
blue,99.50,34.03,0,0.01,0.01,0.0
blue,103.05,36.98,0,0.01,0.01,0.0
blue,106.17,39.89,0,0.01,0.01,0.0
blue,108.75,42.68,0,0.01,0.01,0.0
blue,110.89,45.56,0,0.01,0.01,0.0
blue,112.18,48.02,0,0.01,0.01,0.0
blue,112.61,49.72,0,0.01,0.01,0.0
blue,112.56,50.68,0,0.01,0.01,0.0
blue,112.26,51.31,0,0.01,0.01,0.0
blue,111.69,51.82,0,0.01,0.01,0.0
blue,110.40,52.30,0,0.01,0.01,0.0
blue,108.17,52.48,0,0.01,0.01,0.0
blue,104.93,52.12,0,0.01,0.01,0.0
blue,101.13,51.19,0,0.01,0.01,0.0
