Initial Number of Points,RANSAC Epsilon,RANSAC Number Iterations,Number of Points after RANSAC,RANSAC Duration(ms),DBSCAN Distance Threshold,DBSCAN Neighbours Threshold,Number of Generated Clusters,DBSCAN Duration(ms),Number of Blue Cones,Number of Yellow Cones,Number of Undefined Cones,ConeDifferentiation Duration(ms),Total Duration(ms)
13311,0.1,20,3267,1,0.1,1,2035,17,18,11,2006,1,20
13086,0.1,20,1929,1,0.1,1,1696,3,9,7,1680,0,5
13435,0.1,20,2914,0,0.1,1,2683,6,11,5,2667,0,7
13381,0.1,20,2981,0,0.1,1,2767,5,12,3,2752,0,6
12770,0.1,20,1521,0,0.1,1,1341,2,9,4,1328,0,3
13410,0.1,20,2611,0,0.1,1,2213,6,19,7,2187,0,7
13674,0.1,20,3582,0,0.1,1,3385,7,9,3,3373,0,9
13336,0.1,20,2074,0,0.1,1,1842,3,12,5,1825,0,5
12832,0.1,20,2032,0,0.1,1,1791,3,8,9,1774,1,5
13654,0.1,20,3264,0,0.1,1,3009,6,15,5,2989,0,8
13398,0.1,20,2637,1,0.1,1,2237,5,17,8,2212,0,8
13027,0.1,20,1998,0,0.1,1,1796,6,9,6,1781,0,7
13021,0.1,20,3262,0,0.1,1,3007,6,20,7,2980,1,8
13254,0.1,20,2839,0,0.1,1,2628,5,10,5,2613,0,6
13326,0.1,20,3269,0,0.1,1,3058,6,8,8,3042,0,7
12586,0.1,20,1734,0,0.1,1,1523,3,9,6,1508,0,4
13009,0.1,20,2086,0,0.1,1,1844,5,15,5,1824,0,6
13481,0.1,20,2799,0,0.1,1,2590,5,12,4,2574,0,6
13393,0.1,20,2612,0,0.1,1,2210,4,18,10,2182,0,6
13247,0.1,20,2888,0,0.1,1,2680,5,12,2,2666,0,7
13397,0.1,20,2611,1,0.1,1,2204,4,19,8,2177,0,7
13395,0.1,20,2627,0,0.1,1,2220,4,20,7,2193,0,6
12900,0.1,20,1833,0,0.1,1,1619,3,8,5,1606,0,4
