elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
7.95576,-6.30903,-1.77591,0.70291,-5.23262,-20.2398,2.99527,18.4953,2.29236,3.43348,0,-0.436569,3.35465,-0.323833,-0.302158,179.440002,157.000000,168.220001,603.000000,179.837,161.28,170.559,631.636,2.3387,28.6359
7.97581,-5.96344,-1.53644,0.654433,-5.49878,-20.1717,2.97155,18.641,2.31711,3.43348,0,-0.357699,3.51236,-0.313899,-0.300047,179.440002,157.000000,168.220001,603.000000,186.609,169.592,178.1,659.602,9.88049,56.6018
7.99568,-5.70812,-1.34674,0.624196,-5.77292,-20.097,2.949,18.7504,2.3248,3.9389,0,-0.356491,3.67058,-0.29937,-0.294948,241.270004,163.039993,202.154999,680.000000,194.305,177.279,185.792,689.182,-16.363,9.18222
8.01575,-5.48118,-1.22474,0.600289,-6.06531,-20.0117,2.92621,18.796,2.32592,3.9389,0,-0.418221,3.77864,-0.30255,-0.268062,241.270004,163.039993,202.154999,680.000000,199.465,182.912,191.188,707.121,-10.9667,27.1212
8.03579,-5.14831,-1.04067,0.563882,-6.35485,-19.921,2.90438,18.9189,2.34049,3.9389,0,-0.319689,3.76466,-0.280945,-0.278713,197.600006,192.009995,194.805000,680.000000,198.1,182.508,190.304,692.467,-4.50093,12.4668
8.05576,-4.88732,-0.913322,0.541311,-6.64007,-19.8257,2.88327,18.9935,2.34196,4.11504,0,-0.311739,3.72425,-0.27916,-0.25017,197.600006,192.009995,194.805000,713.000000,195.698,180.532,188.115,682.489,-6.68999,-30.511
8.07579,-4.57421,-0.762639,0.51194,-6.91828,-19.7268,2.86304,19.1085,2.3511,4.11504,0,-0.304586,3.64596,-0.269122,-0.257072,193.259995,182.779999,188.019997,713.000000,191.818,176.78,184.299,666.196,-3.72092,-46.8043
8.09577,-4.28131,-0.631869,0.485021,-7.18776,-19.625,2.84333,19.2142,2.35831,4.11504,0,-0.324124,3.56838,-0.256204,-0.256531,193.259995,182.779999,188.019997,713.000000,187.628,173.038,180.333,652.107,-7.68694,-60.8929
8.11584,-4.02293,-0.530609,0.462623,-7.45455,-19.519,2.8244,19.296,2.36178,3.7514,0,-0.296554,3.5294,-0.243389,-0.227522,188.649994,167.429993,178.039993,650.000000,184.817,171.162,177.99,645.73,-0.050276,-4.27047
8.13586,-3.78105,-0.413223,0.441212,-7.71582,-19.4111,2.80705,19.401,2.36583,3.7514,0,-0.277564,3.58079,-0.234021,-0.202958,188.649994,167.429993,178.039993,650.000000,186.74,174.079,180.41,663.43,2.36968,13.4299
8.15584,-3.47667,-0.295597,0.418622,-7.98365,-19.2967,2.79048,19.5283,2.37186,3.7514,0,-0.308575,3.63641,-0.220627,-0.191297,182.479996,166.380005,174.430000,650.000000,189.194,176.865,183.03,673.702,8.59992,23.7016
8.17585,-3.14715,-0.178359,0.394272,-8.24933,-19.1795,2.77514,19.6743,2.38087,4.67816,0,-0.219356,3.69245,-0.200714,-0.176494,182.479996,166.380005,174.430000,804.000000,191.001,180.236,185.619,683.955,11.1886,-120.045
8.19589,-2.86584,-0.0790128,0.378337,-8.52429,-19.0553,2.76099,19.802,2.38265,4.67816,0,-0.272445,3.73355,-0.180289,-0.146622,191.809998,180.169998,185.989998,804.000000,193.433,182.94,188.187,612.398,2.19658,-191.602
8.21588,-2.57042,0.0358587,0.36472,-8.78367,-18.936,2.74927,19.9634,2.38455,4.67816,0,-0.15124,3.44652,-0.14277,-0.136826,191.809998,180.169998,185.989998,804.000000,177.489,169.168,173.329,614.614,-12.6611,-189.386
8.2359,-2.18667,0.156343,0.347576,-9.02362,-18.8245,2.73997,20.1746,2.39239,3.17405,0,-0.153782,3.17417,-0.105661,-0.0960727,171.770004,164.839996,168.305000,548.000000,162.491,156.219,159.355,567.372,-8.94965,19.3725
