Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0.222,1,0.101,0.323
20,0.853,1,0.165,1.018
50,21.317,1,1.076,22.393
100,35.447,1,3.539,38.986
200,194.648,1,8.923,203.571
10,0.186,2,0.157,0.343
20,0.855,2,0.331,1.186
50,20.055,2,2.001,22.056
100,31.192,2,6.116,37.308
200,163.812,2,14.808,178.62
10,0.18,5,0.375,0.555
20,0.849,5,0.781,1.63
50,9.264,5,4.65,13.914
100,22.905,5,12.263,35.168
200,170.231,5,34.33,204.561
10,0.179,10,0.749,0.928
20,0.867,10,1.595,2.462
50,14.384,10,7.952,22.336
100,25.449,10,24.08,49.529
200,132.288,10,62.791,195.079
