Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0.369,0,0,0.369
20,0.902,0,0,0.902
30,1.543,0,0,1.543
40,2.044,0,0,2.044
50,2.763,0,0,2.763
60,4.101,0,0,4.101
70,6.001,0,0,6.001
80,8.312,0,0,8.312
90,12.187,0,0,12.187
100,15.205,0,0,15.205
110,25.734,0,0,25.734
120,27.356,0,0,27.356
130,31.818,0,0,31.818
140,38.371,0,0,38.371
150,46.994,0,0,46.994
160,64.618,0,0,64.618
170,77.116,0,0.001,77.117
180,80.479,0,0.001,80.48
190,91.97,0,0.001,91.971
200,109.913,0,0.001,109.914
10,11.119,1,0.107,11.226
20,1.512,1,0.151,1.663
30,0.901,1,0.249,1.15
40,1.509,1,0.407,1.916
50,2.562,1,0.578,3.14
60,4.259,1,0.884,5.143
70,6.103,1,1.11,7.213
80,8.632,1,1.41,10.042
90,11.552,1,1.728,13.28
100,15.267,1,2.099,17.366
110,27.883,1,2.675,30.558
120,25.922,1,2.561,28.483
130,31.512,1,2.913,34.425
140,47.58,1,14.813,62.393
150,52.147,1,55.959,108.106
160,57.009,1,9.549,66.558
170,67.168,1,5.423,72.591
180,77.408,1,5.416,82.824
190,90.127,1,5.976,96.103
200,110.879,1,184.192,295.071
10,11.234,2,18.601,29.835
20,1.513,2,2.118,3.631
30,0.923,2,0.676,1.599
40,1.458,2,0.796,2.254
50,2.566,2,1.155,3.721
60,3.885,2,1.672,5.557
70,5.901,2,2.12,8.021
80,8.29,2,2.705,10.995
90,11.329,2,3.404,14.733
100,15.15,2,4.222,19.372
110,19.54,2,4.986,24.526
120,24.719,2,5.013,29.732
130,32.195,2,5.884,38.079
140,38.756,2,6.841,45.597
150,47.301,2,7.68,54.981
160,56.034,2,8.618,64.652
170,68.108,2,9.684,77.792
180,86.737,2,102.056,188.793
190,104.642,2,230.839,335.481
200,111.408,2,379.644,491.052
10,11.257,3,38.134,49.391
20,1.507,3,4.181,5.688
30,0.895,3,1.117,2.012
40,1.454,3,1.2,2.654
50,2.587,3,1.718,4.305
60,4.091,3,2.663,6.754
70,6.571,3,3.583,10.154
80,8.634,3,4.252,12.886
90,11.858,3,5.312,17.17
100,15.493,3,6.444,21.937
110,20.698,3,7.623,28.321
120,25.448,3,7.641,33.089
130,32.287,3,8.795,41.082
140,38.58,3,10.092,48.672
150,49.868,3,98.515,148.383
160,54.62,3,21.182,75.802
170,69.053,3,160.521,229.574
180,93.111,3,290.919,384.03
190,117.995,3,478.826,596.821
200,121.802,3,475.171,596.973
10,12.372,4,47.993,60.365
20,1.643,4,5.333,6.976
30,1.613,4,1.494,3.107
40,2.052,4,1.693,3.745
50,2.676,4,2.318,4.994
60,3.92,4,3.375,7.295
70,5.958,4,4.264,10.222
80,8.317,4,5.537,13.854
90,11.433,4,6.797,18.23
100,14.782,4,8.25,23.032
110,19.69,4,10.263,29.953
120,24.74,4,9.991,34.731
130,33.106,4,12.766,45.872
140,38.934,4,13.607,52.541
150,56.211,4,180.425,236.636
160,62.503,4,269.619,332.122
170,74.933,4,287.542,362.475
180,88.228,4,253.842,342.07
190,105.345,4,715.595,820.94
200,125.31,4,768.818,894.128
10,12.682,5,77.327,90.009
20,1.682,5,8.771,10.453
30,1.013,5,2.858,3.871
40,1.786,5,3.55,5.336
50,3.305,5,6.051,9.356
60,4.698,5,8.507,13.205
70,6.69,5,11.242,17.932
80,11.419,5,71.033,82.452
90,15.91,5,134.947,150.857
100,21.083,5,150.904,171.987
110,26.215,5,190.146,216.361
120,31.736,5,222.979,254.715
130,39.447,5,233.018,272.465
140,48.023,5,247.243,295.266
150,57.276,5,269.425,326.701
160,73.242,5,361.944,435.186
170,75.797,5,335.243,411.04
180,88.532,5,496.626,585.158
190,104.135,5,730.571,834.706
200,114.639,5,767.178,881.817
10,11.648,6,77.37,89.018
20,1.58,6,8.892,10.472
30,0.984,6,3.145,4.129
40,1.687,6,3.959,5.646
50,2.782,6,6.481,9.263
60,4.493,6,9.371,13.864
70,6.374,6,12.318,18.692
80,10.857,6,73.085,83.942
90,19.677,6,137.562,157.239
