Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
100,20.191,6,174.64,194.831
110,24.934,6,212.584,237.518
120,31.38,6,243.892,275.272
130,38.508,6,285.902,324.41
140,44.538,6,226.726,271.264
150,54.913,6,363.998,418.911
160,67.513,6,344.24,411.753
170,75.755,6,362.158,437.913
180,86.691,6,503.265,589.956
190,101.299,6,758.69,859.989
200,115.511,6,981.852,1097.36
10,11.777,7,99.137,110.914
20,1.573,7,11.251,12.824
30,0.982,7,3.689,4.671
40,1.711,7,4.606,6.317
50,2.872,7,7.325,10.197
60,4.422,7,10.764,15.186
70,7.436,7,29.828,37.264
80,10.82,7,79.568,90.388
90,15.186,7,144.357,159.543
100,19.706,7,182.255,201.961
110,25.635,7,230.414,256.049
120,31.924,7,265.877,297.801
130,37.338,7,228.854,266.192
140,44.603,7,225.558,270.161
150,52.502,7,287,339.502
160,62.938,7,357.358,420.296
170,81.465,7,307.34,388.805
180,89.391,7,356.457,445.848
190,106.776,7,356.039,462.815
200,130.718,7,1054.94,1185.66
10,13.298,8,106.561,119.859
20,1.738,8,12.156,13.894
30,0.997,8,4.097,5.094
40,1.676,8,5.053,6.729
50,2.704,8,7.917,10.621
60,4.59,8,11.55,16.14
70,6.216,8,14.867,21.083
80,11.098,8,81.632,92.73
90,15.31,8,146.352,161.662
100,23.043,8,192.424,215.467
110,26.264,8,233.53,259.794
120,30.67,8,249.916,280.586
130,47.766,8,295.847,343.613
140,47.104,8,311.877,358.981
150,53.835,8,260.608,314.443
160,65.021,8,366.146,431.167
170,73.766,8,333.579,407.345
180,87.966,8,510.549,598.515
190,98.523,8,620.708,719.231
200,112.977,8,809.759,922.736
10,11.523,9,82.169,93.692
20,1.56,9,9.905,11.465
30,0.982,9,4.207,5.189
40,1.721,9,5.68,7.401
50,3.113,9,13.817,16.93
60,4.502,9,13.478,17.98
70,7.945,9,40.503,48.448
80,10.963,9,90.044,101.007
90,15.281,9,150.938,166.219
100,19.611,9,199.757,219.368
110,25.046,9,235.843,260.889
120,30.823,9,243.505,274.328
130,38.374,9,318.119,356.493
140,44.956,9,303.836,348.792
150,55.294,9,372.154,427.448
160,62.378,9,275.893,338.271
170,74.533,9,423.31,497.843
180,90.472,9,550.781,641.253
190,101.308,9,680.838,782.146
200,127.219,9,1183.09,1310.31
10,12.957,10,119.704,132.661
20,1.727,10,13.89,15.617
30,1.103,10,5.15,6.253
40,2.143,10,6.656,8.799
50,3.126,10,10.101,13.227
60,4.373,10,14.124,18.497
70,7.354,10,43.064,50.418
80,10.789,10,93.011,103.8
90,15.252,10,155.952,171.204
100,19.302,10,199.011,218.313
110,24.578,10,241.986,266.564
120,32.417,10,306.552,338.969
130,43.821,10,348.452,392.273
140,47.171,10,360.194,407.365
150,53.577,10,318.28,371.857
160,68.076,10,364.966,433.042
170,77.846,10,535.032,612.878
180,82.957,10,272.989,355.946
190,101.994,10,935.698,1037.69
200,117.299,10,1163.19,1280.49
