Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0.252,0,0,0.252
20,1.117,0,0,1.117
30,1.025,0,0,1.025
40,4.331,0,0,4.331
50,24.677,0,0,24.677
60,25.506,0,0,25.506
70,29.3,0,0,29.3
80,33.67,0,0,33.67
90,40.006,0,0,40.006
100,32.277,0,0,32.277
110,41.942,0,0,41.942
120,53.554,0,0,53.554
130,46.391,0,0,46.391
140,65.064,0,0,65.064
150,82.269,0,0,82.269
160,99.459,0,0,99.459
170,160.639,0,0,160.639
180,213.978,0,0,213.978
190,260.714,0,0,260.714
200,157.293,0,0,157.293
10,0.181,1,0.084,0.265
20,0.92,1,0.17,1.09
30,1.314,1,0.294,1.608
40,4.554,1,0.616,5.17
50,21.383,1,0.982,22.365
60,24.452,1,1.294,25.746
70,25.14,1,1.747,26.887
80,26.481,1,2.182,28.663
90,37.342,1,2.743,40.085
100,29.437,1,3.138,32.575
110,38.317,1,3.511,41.828
120,48.009,1,3.141,51.15
130,32.665,1,4.018,36.683
140,50.974,1,3.784,54.758
150,75.176,1,4.271,79.447
160,68.26,1,4.966,73.226
170,93.997,1,5.751,99.748
180,162.101,1,5.841,167.942
190,210.441,1,7.256,217.697
200,132.152,1,7.304,139.456
10,0.18,2,0.152,0.332
20,0.948,2,0.363,1.311
30,1.108,2,0.742,1.85
40,4.217,2,1.085,5.302
50,10.473,2,1.81,12.283
60,14.825,2,2.455,17.28
70,18.859,2,3.384,22.243
80,28.247,2,4.224,32.471
90,33.647,2,4.714,38.361
100,20.697,2,5.62,26.317
110,37.858,2,6.706,44.564
120,48.735,2,5.807,54.542
130,34.936,2,7.279,42.215
140,52.268,2,7.575,59.843
150,74.125,2,8.304,82.429
160,68.333,2,11.316,79.649
170,96.768,2,11.076,107.844
180,172.298,2,12.072,184.37
190,200.611,2,12.316,212.927
200,123.124,2,14.962,138.086
10,0.188,3,0.228,0.416
20,0.865,3,0.479,1.344
30,1.316,3,1.103,2.419
40,4.396,3,1.883,6.279
50,10.579,3,2.667,13.246
60,15.421,3,3.628,19.049
70,13.495,3,4.903,18.398
80,20.782,3,5.784,26.566
