Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0,1,0.014,0.014
20,0,1,0.012,0.012
50,0,1,0.025,0.025
100,0,1,0.064,0.064
200,0,1,0.295,0.295
10,0,2,0.005,0.005
20,0,2,0.009,0.009
50,0,2,0.035,0.035
100,0,2,0.106,0.106
200,0,2,0.407,0.407
10,0,5,0.043,0.043
20,0,5,0.141,0.141
50,0,5,1.503,1.503
100,0,5,10.532,10.532
200,0,5,125.157,125.157
10,0,10,0.078,0.078
20,0,10,0.237,0.237
50,0,10,1.982,1.982
100,0,10,12.35,12.35
200,0,10,166.464,166.464
