Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
190,84.787,9,53.717,138.504
200,98.21,9,53.031,151.241
10,0.104,10,0.555,0.659
20,0.399,10,1.262,1.661
30,0.783,10,2.274,3.057
40,1.423,10,3.728,5.151
50,2.55,10,5.41,7.96
60,3.787,10,8.106,11.893
70,5.782,10,10.014,15.796
80,8.719,10,16.295,25.014
90,11.524,10,16.214,27.738
100,14.481,10,19.655,34.136
110,19.29,10,23.656,42.946
120,23.317,10,22.532,45.849
130,29.554,10,26.65,56.204
140,37.185,10,35.624,72.809
150,43.89,10,34.722,78.612
160,51.857,10,39.025,90.882
170,62.992,10,43.477,106.469
180,77.732,10,48.466,126.198
190,87.274,10,53.977,141.251
200,99.191,10,63.198,162.389
