timestamp_s,dt,throttle_fl,throttle_fr,throttle_rl,throttle_rr,steering,real_x,real_y,real_yaw,real_vx,real_vy,real_yaw_rate,real_fl_rpm,real_fr_rpm,real_motor_rpm
0.0,0.0,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.027163701709612666,-0.001360482652026735,0.00041438862729669735,0.017224420708891935,0.0,0.0023472738633006393,0.0,0.0,0.0
3.5226e-05,3.5226e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02716537721120857,-0.0013604819576313546,0.0004144917785337861,0.017224420708891935,0.0,0.0023472738633006393,0.0,0.0,0.0
5.4453e-05,1.9227e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02716537721120857,-0.0013604819576313546,0.0004144917785337861,0.017224420708891935,0.0,0.0016249545782882986,0.0,0.0,0.0
0.000554965,0.000500512,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02716537721120857,-0.0013604819576313546,0.0004144917785337861,0.017224420708891935,0.0,0.0016249545782882986,0.0,0.0,0.0
0.000575614,2.0649e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02716537721120857,-0.0013604819576313546,0.0004144917785337861,0.017224420708891935,0.0,0.0016249545782882986,0.0,0.0,0.0
0.000789006,0.000213392,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02718251003634545,-0.001360474843785605,0.0004157886165876055,0.017224420708891935,0.0,0.0016249545782882986,0.0,0.0,0.0
0.000844581,5.5575e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02718251003634545,-0.001360474843785605,0.0004157886165876055,3.307850984810706e-05,0.0,0.0010465507823124007,0.0,0.0,0.0
0.000914092,6.9511e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02718251003634545,-0.001360474843785605,0.0004157886165876055,3.307850984810706e-05,0.0,0.0010465507823124007,0.0,0.0,0.0
0.00092881,1.4718e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02718251499697322,-0.0013604748417226432,0.0004159455628752553,3.307850984810706e-05,0.0,0.0010465507823124007,0.0,0.0,0.0
0.000966,3.719e-05,0.0,0.0,0.1802,0.1802,-0.018027120122866586,0.02718251499697322,-0.0013604748417226432,0.0004159455628752553,3.307850984810706e-05,0.0,0.0010465507823124007,0.0,0.0,0.0
