x,y,z,intensity,ring,angle_deg,range
-18.5181,-51.982,-0.817722,12,14,-109.608,55.188
-22.7745,-51.6977,-1.17051,14,15,-113.775,56.504
-13.7897,-49.9201,-1.37785,8,16,-105.442,51.808
-17.8825,-50.1977,-1.73421,11,17,-109.608,53.316
-22.2405,-50.4855,-2.12025,9,18,-113.775,55.208
-11.1168,-40.2439,-1.84916,1,19,-105.442,41.792
-12.2709,-34.4455,-1.83698,1,20,-109.608,36.612
-13.5003,-30.6455,-1.87867,1,21,-113.775,33.54
-6.85961,-24.8325,-1.59735,3,22,-105.442,25.812
-7.96986,-22.3721,-1.61322,3,23,-109.608,23.804
-8.77439,-19.9177,-1.60632,3,24,-113.775,21.824
-4.8328,-17.4952,-1.44632,5,25,-105.442,18.208
-5.72291,-16.0647,-1.4599,6,26,-109.608,17.116
-6.51344,-14.7854,-1.47803,5,27,-113.775,16.224
-3.7377,-13.5308,-1.367,6,28,-105.442,14.104
-4.50239,-12.6386,-1.38576,7,29,-109.608,13.488
-3.73931,-10.4966,-1.34822,7,30,-109.608,11.224
-3.18176,-8.93146,-1.31479,5,31,-109.608,9.572
-2.7704,-7.77675,-1.29218,6,32,-109.608,8.356
-2.46103,-6.90831,-1.27741,8,33,-109.608,7.444
-2.20544,-6.19087,-1.26175,12,34,-109.608,6.692
-2.0048,-5.62766,-1.25262,13,35,-109.608,6.104
-1.82333,-5.11824,-1.23542,12,36,-109.608,5.572
-1.67796,-4.71017,-1.225,11,37,-109.608,5.148
-1.19119,-3.34378,-1.20321,9,38,-109.608,3.748
-0.854657,-2.3991,-1.17316,12,39,-109.608,2.804
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-20.6072,-57.8461,2.35043,2,5,-109.608,61.452
-25.617,-58.1503,2.05463,6,6,-113.775,63.576
-15.3878,-55.7055,1.52843,14,7,-105.442,57.812
-19.8476,-55.7138,1.21512,12,8,-109.608,59.156
-24.4877,-55.5867,0.889504,13,9,-113.775,60.748
-14.8601,-53.7952,0.487997,15,10,-105.442,55.812
-19.1725,-53.8187,0.163515,11,11,-109.608,57.132
-23.6968,-53.7914,-0.177449,15,12,-113.775,58.78
-14.3787,-52.0524,-0.481613,16,13,-105.442,54.004
-18.5181,-51.982,-0.817722,12,14,-109.608,55.188
-22.7745,-51.6977,-1.17051,14,15,-113.775,56.504
-13.7897,-49.9201,-1.37785,8,16,-105.442,51.808
-17.8825,-50.1977,-1.73421,11,17,-109.608,53.316
-22.2405,-50.4855,-2.12025,9,18,-113.775,55.208
-11.1168,-40.2439,-1.84916,1,19,-105.442,41.792
-12.2709,-34.4455,-1.83698,1,20,-109.608,36.612
-13.5003,-30.6455,-1.87867,1,21,-113.775,33.54
-6.85961,-24.8325,-1.59735,3,22,-105.442,25.812
-7.96986,-22.3721,-1.61322,3,23,-109.608,23.804
-8.77439,-19.9177,-1.60632,3,24,-113.775,21.824
-4.8328,-17.4952,-1.44632,5,25,-105.442,18.208
-5.72291,-16.0647,-1.4599,6,26,-109.608,17.116
-6.51344,-14.7854,-1.47803,5,27,-113.775,16.224
-3.7377,-13.5308,-1.367,6,28,-105.442,14.104
-4.50239,-12.6386,-1.38576,7,29,-109.608,13.488
-3.73931,-10.4966,-1.34822,7,30,-109.608,11.224
-3.18176,-8.93146,-1.31479,5,31,-109.608,9.572
-2.7704,-7.77675,-1.29218,6,32,-109.608,8.356
-2.46103,-6.90831,-1.27741,8,33,-109.608,7.444
-2.20544,-6.19087,-1.26175,12,34,-109.608,6.692
-2.0048,-5.62766,-1.25262,13,35,-109.608,6.104
-1.82333,-5.11824,-1.23542,12,36,-109.608,5.572
-1.67796,-4.71017,-1.225,11,37,-109.608,5.148
-1.19119,-3.34378,-1.20321,9,38,-109.608,3.748
-0.854657,-2.3991,-1.17316,12,39,-109.608,2.804
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-43.3666,-120.402,4.89836,2,5,-109.808,128.068
-64.1078,-144.158,5.10142,4,6,-113.975,157.852
-15.6135,-55.7631,1.5315,13,7,-105.642,57.928
-20.0528,-55.6743,1.21578,18,8,-109.808,59.188
-24.7563,-55.669,0.892198,14,9,-113.975,60.932
-15.0661,-53.8084,0.488591,14,10,-105.642,55.88
-19.3941,-53.8456,0.163802,10,11,-109.808,57.232
-23.9446,-53.8436,-0.177896,14,12,-113.975,58.928
-14.583,-52.0828,-0.482363,16,13,-105.642,54.088
-18.7212,-51.9772,-0.818671,12,14,-109.808,55.252
-22.9759,-51.6654,-1.17158,13,15,-113.975,56.556
-13.9854,-49.9487,-1.37998,9,16,-105.642,51.888
-18.0861,-50.2139,-1.73694,12,17,-109.808,53.4
-22.4555,-50.4953,-2.12394,8,18,-113.975,55.304
-11.3003,-40.3587,-1.85624,1,19,-105.642,41.952
-12.433,-34.5189,-1.8432,1,20,-109.808,36.736
-13.5991,-30.5799,-1.87755,1,21,-113.975,33.52
-6.95594,-24.843,-1.59958,3,22,-105.642,25.848
-8.05872,-22.3741,-1.61539,3,23,-109.808,23.836
-8.8925,-19.9963,-1.61515,3,24,-113.975,21.944
-4.90029,-17.5013,-1.44822,5,25,-105.642,18.232
-5.79111,-16.0784,-1.46297,6,26,-109.808,17.152
-6.56178,-14.7553,-1.47731,4,27,-113.975,16.216
-3.79671,-13.5599,-1.37126,5,28,-105.642,14.148
-4.55592,-12.649,-1.38864,7,29,-109.808,13.516
-3.77459,-10.4797,-1.34774,6,30,-109.808,11.22
-3.20754,-8.90539,-1.31259,6,31,-109.808,9.556
-2.79485,-7.7596,-1.29094,12,32,-109.808,8.348
-2.48913,-6.9108,-1.27946,8,33,-109.808,7.456
-2.23636,-6.209,-1.26703,8,34,-109.808,6.72
-2.02709,-5.62799,-1.25426,7,35,-109.808,6.112
-1.84647,-5.12652,-1.23896,7,36,-109.808,5.588
-1.69702,-4.7116,-1.2269,8,37,-109.808,5.156
-1.21184,-3.36455,-1.2122,9,38,-109.808,3.776
-0.863027,-2.3961,-1.17316,12,39,-109.808,2.804
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-20.8496,-57.8866,2.35501,1,5,-109.808,61.572
-25.8036,-58.024,2.05334,1,6,-113.975,63.536
-15.6135,-55.7631,1.5315,13,7,-105.642,57.928
-20.0528,-55.6743,1.21578,18,8,-109.808,59.188
-24.7563,-55.669,0.892198,14,9,-113.975,60.932
-15.0661,-53.8084,0.488591,14,10,-105.642,55.88
-19.3941,-53.8456,0.163802,10,11,-109.808,57.232
-23.9446,-53.8436,-0.177896,14,12,-113.975,58.928
-14.583,-52.0828,-0.482363,16,13,-105.642,54.088
-18.7212,-51.9772,-0.818671,12,14,-109.808,55.252
-22.9759,-51.6654,-1.17158,13,15,-113.975,56.556
