x,y,z,intensity,ring,angle_deg,range
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-19.8444,-57.7699,2.33803,6,5,-108.958,61.128
0,0,0,0,6,0,0
-14.6824,-55.602,1.52092,17,7,-104.792,57.528
-19.1129,-55.6404,1.20871,13,8,-108.958,58.844
-23.7393,-55.5887,0.885169,16,9,-113.125,60.452
-14.1897,-53.736,0.485968,14,10,-104.792,55.58
-18.458,-53.7339,0.162611,13,11,-108.958,56.816
-22.9405,-53.7184,-0.176338,14,12,-113.125,58.412
-13.7097,-51.9183,-0.478902,14,13,-104.792,53.7
-17.8467,-51.9542,-0.814048,12,14,-108.958,54.94
-22.0672,-51.6733,-1.16421,13,15,-113.125,56.2
-13.1735,-49.8877,-1.37275,8,16,-104.792,51.616
-17.2352,-50.1742,-1.72653,11,17,-108.958,53.08
-21.5486,-50.4589,-2.10873,9,18,-113.125,54.908
-10.6575,-40.3597,-1.8488,1,19,-104.792,41.784
-11.8664,-34.5447,-1.83497,1,20,-108.958,36.572
-12.9761,-30.3853,-1.85357,1,21,-113.125,33.092
-6.54587,-24.7891,-1.58968,2,22,-104.792,25.688
-7.67017,-22.3289,-1.60374,3,23,-108.958,23.664
-8.52751,-19.9683,-1.60249,3,24,-113.125,21.772
-4.62078,-17.4988,-1.44219,5,25,-104.792,18.156
-5.51829,-16.0645,-1.4541,5,26,-108.958,17.048
-6.32495,-14.8107,-1.4733,5,27,-113.125,16.172
-3.57379,-13.5339,-1.36312,6,28,-104.792,14.064
-4.34322,-12.6437,-1.38083,6,29,-108.958,13.44
-3.61355,-10.5195,-1.34582,6,30,-108.958,11.204
-3.07251,-8.9445,-1.31149,5,31,-108.958,9.548
-2.68457,-7.81516,-1.29342,8,32,-108.958,8.364
-2.3825,-6.93578,-1.27741,9,33,-108.958,7.444
-2.13252,-6.20806,-1.26024,6,34,-108.958,6.684
-1.94465,-5.66114,-1.25509,9,35,-108.958,6.116
-1.77022,-5.15335,-1.23896,13,36,-108.958,5.588
-1.63073,-4.74728,-1.22976,10,37,-108.958,5.168
-1.15318,-3.35708,-1.20321,8,38,-108.958,3.748
-0.826206,-2.4052,-1.17149,12,39,-108.958,2.8
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-19.8444,-57.7699,2.33803,6,5,-108.958,61.128
0,0,0,0,6,0,0
-14.6824,-55.602,1.52092,17,7,-104.792,57.528
-19.1129,-55.6404,1.20871,13,8,-108.958,58.844
-23.7393,-55.5887,0.885169,16,9,-113.125,60.452
-14.1897,-53.736,0.485968,14,10,-104.792,55.58
-18.458,-53.7339,0.162611,13,11,-108.958,56.816
-22.9405,-53.7184,-0.176338,14,12,-113.125,58.412
-13.7097,-51.9183,-0.478902,14,13,-104.792,53.7
-17.8467,-51.9542,-0.814048,12,14,-108.958,54.94
-22.0672,-51.6733,-1.16421,13,15,-113.125,56.2
-13.1735,-49.8877,-1.37275,8,16,-104.792,51.616
-17.2352,-50.1742,-1.72653,11,17,-108.958,53.08
-21.5486,-50.4589,-2.10873,9,18,-113.125,54.908
-10.6575,-40.3597,-1.8488,1,19,-104.792,41.784
-11.8664,-34.5447,-1.83497,1,20,-108.958,36.572
-12.9761,-30.3853,-1.85357,1,21,-113.125,33.092
-6.54587,-24.7891,-1.58968,2,22,-104.792,25.688
-7.67017,-22.3289,-1.60374,3,23,-108.958,23.664
-8.52751,-19.9683,-1.60249,3,24,-113.125,21.772
-4.62078,-17.4988,-1.44219,5,25,-104.792,18.156
-5.51829,-16.0645,-1.4541,5,26,-108.958,17.048
-6.32495,-14.8107,-1.4733,5,27,-113.125,16.172
-3.57379,-13.5339,-1.36312,6,28,-104.792,14.064
-4.34322,-12.6437,-1.38083,6,29,-108.958,13.44
-3.61355,-10.5195,-1.34582,6,30,-108.958,11.204
-3.07251,-8.9445,-1.31149,5,31,-108.958,9.548
-2.68457,-7.81516,-1.29342,8,32,-108.958,8.364
-2.3825,-6.93578,-1.27741,9,33,-108.958,7.444
-2.13252,-6.20806,-1.26024,6,34,-108.958,6.684
-1.94465,-5.66114,-1.25509,9,35,-108.958,6.116
-1.77022,-5.15335,-1.23896,13,36,-108.958,5.588
-1.63073,-4.74728,-1.22976,10,37,-108.958,5.168
-1.15318,-3.35708,-1.20321,8,38,-108.958,3.748
-0.826206,-2.4052,-1.17149,12,39,-108.958,2.8
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-20.0893,-57.8249,2.34308,5,5,-109.158,61.26
-50.566,-117.272,4.12943,2,6,-113.325,127.776
-14.9002,-55.6393,1.52336,15,7,-104.992,57.62
-19.3556,-55.7131,1.21175,13,8,-109.158,58.992
-23.9427,-55.5276,0.885521,15,9,-113.325,60.476
-14.402,-53.7788,0.486808,16,10,-104.992,55.676
-18.6901,-53.7976,0.163,11,11,-109.158,56.952
-23.1707,-53.7371,-0.176664,15,12,-113.325,58.52
-13.9229,-51.9899,-0.480008,16,13,-104.992,53.824
-18.0463,-51.9445,-0.814877,13,14,-109.158,54.996
-22.3044,-51.7281,-1.16719,14,15,-113.325,56.344
-13.3682,-49.9187,-1.37488,8,16,-104.992,51.696
-17.4326,-50.1779,-1.72874,12,17,-109.158,53.148
-21.7594,-50.4641,-2.11211,8,18,-113.325,54.996
-10.7921,-40.2991,-1.84774,1,19,-104.992,41.76
-11.962,-34.4313,-1.83116,1,20,-109.158,36.496
-13.1706,-30.5452,-1.86612,1,21,-113.325,33.316
-6.64888,-24.8278,-1.59364,2,22,-104.992,25.752
-7.75199,-22.3133,-1.60455,3,23,-109.158,23.676
-8.60032,-19.9458,-1.60308,3,24,-113.325,21.78
-4.68184,-17.4826,-1.44219,5,25,-104.992,18.156
-5.5861,-16.079,-1.45717,4,26,-109.158,17.084
-6.38765,-14.8142,-1.47585,4,27,-113.325,16.2
-3.62925,-13.5521,-1.36622,7,28,-104.992,14.096
-4.39908,-12.6623,-1.38453,6,29,-109.158,13.476
-3.64894,-10.5031,-1.34534,7,30,-109.158,11.2
-3.10501,-8.93746,-1.31204,6,31,-109.158,9.552
-2.70794,-7.79454,-1.29156,8,32,-109.158,8.352
-2.40928,-6.93487,-1.27878,9,33,-109.158,7.452
-2.15289,-6.19687,-1.25949,13,34,-109.158,6.68
-1.95926,-5.63953,-1.2518,10,35,-109.158,6.1
-1.78692,-5.14346,-1.23808,14,36,-109.158,5.584
-1.63964,-4.71954,-1.22405,10,37,-109.158,5.144
-1.16241,-3.34587,-1.20064,7,38,-109.158,3.74
-0.833404,-2.39887,-1.16982,12,39,-109.158,2.796
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-20.0893,-57.8249,2.34308,5,5,-109.158,61.26
-25.0598,-58.1184,2.04649,2,6,-113.325,63.324
-14.9002,-55.6393,1.52336,15,7,-104.992,57.62
-19.3556,-55.7131,1.21175,13,8,-109.158,58.992
-23.9427,-55.5276,0.885521,15,9,-113.325,60.476
-14.402,-53.7788,0.486808,16,10,-104.992,55.676
-18.6901,-53.7976,0.163,11,11,-109.158,56.952
-23.1707,-53.7371,-0.176664,15,12,-113.325,58.52
-13.9229,-51.9899,-0.480008,16,13,-104.992,53.824
-18.0463,-51.9445,-0.814877,13,14,-109.158,54.996
-22.3044,-51.7281,-1.16719,14,15,-113.325,56.344
-13.3682,-49.9187,-1.37488,8,16,-104.992,51.696
-17.4326,-50.1779,-1.72874,12,17,-109.158,53.148
-21.7594,-50.4641,-2.11211,8,18,-113.325,54.996
-10.7921,-40.2991,-1.84774,1,19,-104.992,41.76
-11.962,-34.4313,-1.83116,1,20,-109.158,36.496
-13.1706,-30.5452,-1.86612,1,21,-113.325,33.316
-6.64888,-24.8278,-1.59364,2,22,-104.992,25.752
-7.75199,-22.3133,-1.60455,3,23,-109.158,23.676
-8.60032,-19.9458,-1.60308,3,24,-113.325,21.78
-4.68184,-17.4826,-1.44219,5,25,-104.992,18.156
-5.5861,-16.079,-1.45717,4,26,-109.158,17.084
-6.38765,-14.8142,-1.47585,4,27,-113.325,16.2
-3.62925,-13.5521,-1.36622,7,28,-104.992,14.096
-4.39908,-12.6623,-1.38453,6,29,-109.158,13.476
-3.64894,-10.5031,-1.34534,7,30,-109.158,11.2
-3.10501,-8.93746,-1.31204,6,31,-109.158,9.552
-2.70794,-7.79454,-1.29156,8,32,-109.158,8.352
-2.40928,-6.93487,-1.27878,9,33,-109.158,7.452
-2.15289,-6.19687,-1.25949,13,34,-109.158,6.68
-1.95926,-5.63953,-1.2518,10,35,-109.158,6.1
-1.78692,-5.14346,-1.23808,14,36,-109.158,5.584
-1.63964,-4.71954,-1.22405,10,37,-109.158,5.144
-1.16241,-3.34587,-1.20064,7,38,-109.158,3.74
-0.833404,-2.39887,-1.16982,12,39,-109.158,2.796
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-20.3029,-57.7884,2.34446,4,5,-109.358,61.296
-47.2218,-108.473,3.82539,2,6,-113.525,118.368
-15.1247,-55.6988,1.52642,16,7,-105.192,57.736
-19.5871,-55.7508,1.21405,13,8,-109.358,59.104
-24.1763,-55.5353,0.886985,14,9,-113.525,60.576
-14.5938,-53.7437,0.486947,14,10,-105.192,55.692
-18.907,-53.8151,0.163252,12,11,-109.358,57.04
-23.4028,-53.7586,-0.177002,12,12,-113.525,58.632
-14.1252,-52.0181,-0.480722,16,13,-105.192,53.904
-18.2567,-51.9642,-0.816181,12,14,-109.358,55.084
-22.5375,-51.7709,-1.16993,13,15,-113.525,56.476
-13.5613,-49.9412,-1.37679,8,16,-105.192,51.768
-17.6341,-50.1922,-1.73134,12,17,-109.358,53.228
-21.9737,-50.4758,-2.1158,9,18,-113.525,55.092
-10.9432,-40.2997,-1.84951,1,19,-105.192,41.8
-12.1509,-34.5854,-1.84159,1,20,-109.358,36.704
-13.3138,-30.5832,-1.87128,1,21,-113.525,33.408
-6.74701,-24.8468,-1.59636,2,22,-105.192,25.796
-7.84968,-22.3426,-1.60861,2,23,-109.358,23.736
-8.66989,-19.9156,-1.60308,3,24,-113.525,21.78
-4.75642,-17.5162,-1.44632,5,25,-105.192,18.208
-5.65408,-16.0933,-1.46024,4,26,-109.358,17.12
-6.4441,-14.8027,-1.47694,5,27,-113.525,16.212
-3.67966,-13.5509,-1.36739,6,28,-105.192,14.108
-4.44457,-12.6506,-1.38494,7,29,-109.358,13.48
-3.6869,-10.4941,-1.34582,7,30,-109.358,11.204
-3.13094,-8.91161,-1.30984,6,31,-109.358,9.536
-2.73644,-7.78877,-1.29218,8,32,-109.358,8.356
-2.43739,-6.93757,-1.28084,7,33,-109.358,7.464
-2.17581,-6.19302,-1.26024,7,34,-109.358,6.684
-1.97893,-5.63266,-1.2518,6,35,-109.358,6.1
-1.80874,-5.14823,-1.24074,9,36,-109.358,5.596
-1.65997,-4.72478,-1.2269,10,37,-109.358,5.156
-1.18036,-3.35967,-1.20706,8,38,-109.358,3.76
-0.842977,-2.39937,-1.17149,11,39,-109.358,2.8
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-20.3029,-57.7884,2.34446,4,5,-109.358,61.296
-25.4173,-58.3861,2.05903,5,6,-113.525,63.712
-15.1247,-55.6988,1.52642,16,7,-105.192,57.736
-19.5871,-55.7508,1.21405,13,8,-109.358,59.104
-24.1763,-55.5353,0.886985,14,9,-113.525,60.576
-14.5938,-53.7437,0.486947,14,10,-105.192,55.692
-18.907,-53.8151,0.163252,12,11,-109.358,57.04
-23.4028,-53.7586,-0.177002,12,12,-113.525,58.632
-14.1252,-52.0181,-0.480722,16,13,-105.192,53.904
-18.2567,-51.9642,-0.816181,12,14,-109.358,55.084
-22.5375,-51.7709,-1.16993,13,15,-113.525,56.476
-13.5613,-49.9412,-1.37679,8,16,-105.192,51.768
-17.6341,-50.1922,-1.73134,12,17,-109.358,53.228
-21.9737,-50.4758,-2.1158,9,18,-113.525,55.092
-10.9432,-40.2997,-1.84951,1,19,-105.192,41.8
-12.1509,-34.5854,-1.84159,1,20,-109.358,36.704
-13.3138,-30.5832,-1.87128,1,21,-113.525,33.408
-6.74701,-24.8468,-1.59636,2,22,-105.192,25.796
-7.84968,-22.3426,-1.60861,2,23,-109.358,23.736
-8.66989,-19.9156,-1.60308,3,24,-113.525,21.78
-4.75642,-17.5162,-1.44632,5,25,-105.192,18.208
-5.65408,-16.0933,-1.46024,4,26,-109.358,17.12
-6.4441,-14.8027,-1.47694,5,27,-113.525,16.212
-3.67966,-13.5509,-1.36739,6,28,-105.192,14.108
-4.44457,-12.6506,-1.38494,7,29,-109.358,13.48
-3.6869,-10.4941,-1.34582,7,30,-109.358,11.204
-3.13094,-8.91161,-1.30984,6,31,-109.358,9.536
-2.73644,-7.78877,-1.29218,8,32,-109.358,8.356
-2.43739,-6.93757,-1.28084,7,33,-109.358,7.464
-2.17581,-6.19302,-1.26024,7,34,-109.358,6.684
-1.97893,-5.63266,-1.2518,6,35,-109.358,6.1
-1.80874,-5.14823,-1.24074,9,36,-109.358,5.596
-1.65997,-4.72478,-1.2269,10,37,-109.358,5.156
-1.18036,-3.35967,-1.20706,8,38,-109.358,3.76
-0.842977,-2.39937,-1.17149,11,39,-109.358,2.8
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-42.7886,-120.444,4.8924,2,5,-109.558,127.912
-63.5409,-144.579,5.10646,4,6,-113.725,158.008
-15.3456,-55.7421,1.52907,16,7,-105.392,57.836
-19.7949,-55.7198,1.21487,13,8,-109.558,59.144
-24.4295,-55.5861,0.889152,13,9,-113.725,60.724
-14.8057,-53.7811,0.487752,15,10,-105.392,55.784
-19.1268,-53.8392,0.163527,10,11,-109.558,57.136
-23.6483,-53.8084,-0.177437,14,12,-113.725,58.776
-14.328,-52.0457,-0.481435,16,13,-105.392,53.984
-18.4674,-51.983,-0.817485,11,14,-109.558,55.172
