elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.437259,7.36794,6.20195,1.08172,3.65342,0.813728,0.233041,6.54451,-0.84868,7.18009,0,0.15583,5.34873,0.0728492,0.0600181,313.910004,323.750000,318.830002,1203.000000,277.008,280.904,278.956,1084.36,-39.874,-118.635
0.457377,7.64661,6.74442,1.09099,4.08488,0.921732,0.23668,6.82566,-0.854307,7.32442,0,0.107573,5.67978,0.0398055,0.0226869,313.910004,323.750000,318.830002,1203.000000,296.354,297.895,297.124,1136.7,-21.7056,-66.2975
0.477447,7.87104,7.17926,1.09652,4.53888,1.03363,0.237965,6.99084,-0.858558,7.51541,0,0.0500468,6.1184,0.0190546,0.00303269,335.570007,337.380005,336.475006,1353.000000,320.027,320.381,320.204,1214.8,-16.2709,-138.205
0.497534,8.127,7.68106,1.10149,5.03003,1.15429,0.238483,7.22426,-0.863003,7.24363,0,0.0693977,6.39178,0.0147046,0.00203768,335.570007,337.380005,336.475006,1331.000000,334.636,334.637,334.637,1271.69,-1.8384,-59.3132
0.517653,8.34729,8.12085,1.10713,5.544,1.28112,0.239349,7.39191,-0.867777,8.10441,0,0.0367259,6.7579,0.0309689,0.0116459,335.570007,337.380005,336.475006,1342.000000,353.198,354.008,353.603,1357.18,17.1276,15.1846
0.537739,8.69975,8.82757,1.11111,6.07473,1.41516,0.242151,7.86349,-0.868955,7.71126,0,0.0578496,6.96876,0.0686997,0.0537397,272.929993,385.450012,329.190002,1331.000000,363.555,366.451,365.003,1380.4,35.813,49.4022
0.557911,8.96044,9.34136,1.11852,6.62439,1.5608,0.248916,8.12369,-0.869603,7.88007,0,0.083791,7.14228,0.134124,0.108506,388.320007,381.450012,384.885010,1360.000000,371.61,378.295,374.953,1370.48,-9.93218,10.4812
0.577897,9.28362,9.97038,1.12446,7.18218,1.7201,0.261205,8.51371,-0.863256,7.91827,0,0.14532,7.19231,0.211276,0.182594,373.920013,373.690002,373.805008,1419.000000,371.837,383.443,377.64,1400.78,3.83496,-18.2173
0.598005,9.55403,10.5277,1.13898,7.73378,1.8956,0.281137,8.82197,-0.857847,8.21749,0,0.23138,7.15759,0.328823,0.297338,372.690002,391.730011,382.210007,1419.000000,367.91,386.279,377.095,1371.49,-5.11515,-47.5123
0.618124,9.82804,11.146,1.16932,8.2718,2.09095,0.310099,9.18781,-0.859218,8.85729,0,0.425825,7.0558,0.425825,0.416252,364.329987,399.739990,382.034988,1499.000000,360.067,385.848,372.957,1348.88,-9.0775,-150.116
0.638226,10.0773,11.7639,1.20898,8.78716,2.306,0.346402,9.54548,-0.862579,6.30191,0,0.621718,6.86615,0.504655,0.485615,352.410004,374.029999,363.220001,1265.000000,349.047,379.558,364.302,1292.97,1.08241,27.9672
0.658332,10.2721,12.2894,1.25179,9.28226,2.54004,0.386003,9.79945,-0.865782,8.60923,0,0.6723,6.66214,0.522575,0.509231,377.420013,383.910004,380.665009,1364.000000,338.384,369.843,354.114,1253.59,-26.5514,-110.406
0.678504,10.4267,12.8686,1.29727,9.75365,2.79079,0.42795,10.1003,-0.869319,7.38649,0,0.734337,6.65579,0.564053,0.541696,346.260010,393.329987,369.794998,1316.000000,336.837,370.405,353.621,1338.42,-16.174,22.4156
0.698584,10.5873,13.5618,1.35957,10.2256,3.06904,0.471312,10.499,-0.888261,7.12466,0,0.696162,6.94897,0.564399,0.54638,342.839996,370.700012,356.770004,1214.000000,351.475,385.164,368.32,1354.28,11.5496,140.28
0.718661,10.6678,14.1511,1.4159,10.6772,3.36119,0.51324,10.7899,-0.902658,7.09723,0,0.677414,6.46122,0.53016,0.508496,327.649994,184.199997,255.924995,1232.000000,328.965,360.837,344.901,1114.06,88.9759,-117.939
0.738743,10.7382,14.6939,1.46898,11.0906,3.65206,0.551734,11.0474,-0.917247,6.68847,0,0.689053,6.07998,0.477004,0.454571,239.229996,368.619995,303.924995,1166.000000,308.806,337.137,322.972,1142,19.0466,-24.0014
0.758896,10.7602,15.2035,1.5133,11.4779,3.94376,0.586456,11.2826,-0.926845,6.39682,0,0.561837,5.89757,0.436072,0.415006,310.329987,341.529999,325.929993,1112.000000,300.006,325.959,312.982,1112.11,-12.9475,0.106873
0.778948,10.7578,15.8784,1.56408,11.8425,4.23548,0.618236,11.6934,-0.945844,6.40115,0,0.564141,5.7077,0.405834,0.38572,310.950012,340.510010,325.730011,1119.000000,290.635,314.778,302.707,1073.14,-23.0233,-45.8646
0.799079,10.7173,16.5066,1.61387,12.1854,4.52668,0.648165,12.0695,-0.965704,6.13325,0,0.47642,5.44689,0.387966,0.369696,292.809998,321.750000,307.279999,1064.000000,278.144,301.148,289.646,963.449,-17.6338,-100.551
0.819302,10.6898,16.9661,1.64835,12.4992,4.80966,0.676551,12.2904,-0.971797,6.1017,0,0.478126,5.12668,0.376674,0.35357,282.420013,314.070007,298.245010,1046.000000,261.115,283.337,272.226,949.263,-26.0189,-96.7373
0.839313,10.6459,17.2521,1.67481,12.7896,5.08946,0.70512,12.3501,-0.969687,5.70655,0,0.503425,4.85861,0.377312,0.349493,270.040009,293.980011,282.010010,991.000000,247.538,269.404,258.471,883.415,-23.5389,-107.585
0.859919,10.5405,17.9308,1.72969,13.0625,5.37042,0.734463,12.8111,-0.995225,5.5662,0,0.511338,4.58308,0.386691,0.357853,260.739990,295.299988,278.019989,947.000000,233.38,255.667,244.523,812.854,-33.4967,-134.146
0.879557,10.4302,18.4389,1.77275,13.2956,5.62934,0.763475,13.1261,-1.00927,5.4447,0,0.561365,4.28528,0.410601,0.382774,246.690002,280.269989,263.479996,947.000000,217.319,240.859,229.089,789.477,-34.3908,-157.523
0.899596,10.3175,18.8586,1.81585,13.5084,5.88697,0.795145,13.3583,-1.02071,5.79369,0,0.578512,4.10181,0.443609,0.419945,239.050003,277.589996,258.320000,998.000000,207.24,232.71,219.975,775.672,-38.3453,-222.328
0.919752,10.1893,19.2582,1.86646,13.7056,6.14884,0.829839,13.5728,-1.03662,4.98559,0,0.644148,3.82926,0.458348,0.422124,237.369995,270.910004,254.139999,998.000000,193,219.606,206.303,758.566,-47.8368,-239.434
0.939908,10.0685,19.6199,1.92221,13.8757,6.3969,0.86429,13.7602,-1.05792,4.50132,0,0.746886,3.55676,0.452342,0.422884,226.649994,262.549988,244.599991,819.000000,180.074,206.164,193.119,621.401,-51.481,-197.599
0.96001,9.87746,20.0153,1.98058,14.0259,6.63617,0.898301,14.0075,-1.08228,5.30749,0,0.787677,3.45232,0.463906,0.427502,244.860001,264.209991,254.534996,932.000000,174.316,200.356,187.336,657.37,-67.199,-274.63
0.980008,9.7099,20.2887,2.03871,14.1608,6.87143,0.932435,14.1362,-1.10627,5.26964,0,0.759105,3.28022,0.454525,0.426682,212.979996,245.479996,229.229996,1002.000000,165.289,191.33,178.309,618.174,-50.9207,-383.826
1.00012,9.39253,20.7909,2.10645,14.2799,7.09861,0.965636,14.5384,-1.14081,4.3653,0,0.769978,2.93612,0.414024,0.3858,215.669998,216.940002,216.305000,713.000000,148.177,171.815,159.996,531.523,-56.3092,-181.477
1.02027,9.25058,21.0167,2.15588,14.3771,7.29816,0.994013,14.6451,-1.16187,5.2135,0,0.685195,2.55939,0.329942,0.317066,208.160004,249.100006,228.630005,1013.000000,129.269,148.379,138.824,464.487,-89.8061,-548.513
1.04035,9.01358,21.2872,2.21511,14.4597,7.47332,1.0165,14.8487,-1.19862,3.59717,0,0.634408,2.18232,0.256294,0.240577,214.740005,314.390015,264.565010,603.000000,110.291,125.187,117.739,397.067,-146.826,-205.933
1.06049,8.73642,21.5779,2.2661,14.528,7.62041,1.03314,15.1114,-1.23296,4.86579,0,0.577979,1.81114,0.185362,0.176186,211.429993,236.339996,223.884995,841.000000,91.7385,102.514,97.1261,330.636,-126.759,-510.364
1.08064,8.49525,21.8037,2.30065,14.583,7.74047,1.04554,15.3244,-1.25511,4.91492,0,0.523443,1.4146,0.135645,0.123105,208.580002,227.399994,217.989998,848.000000,71.5574,79.2505,75.404,271.208,-142.586,-576.792
1.1007,8.11737,22.162,2.34158,14.6364,7.85666,1.05612,15.7207,-1.28546,3.72049,0,0.416375,1.81814,0.157776,0.136811,210.509995,232.130005,221.320000,650.000000,93.1245,101.971,97.5478,403.027,-123.772,-246.973
