elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.410858,3.98335,-0.37938,-0.0745423,7.7258,-1.00724,-0.106657,3.79475,-0.0321147,5.00972,0,0.207453,6.54829,0.335684,0.327193,151.169998,165.100006,158.135002,673.000000,334.286,354.555,344.42,1340.08,186.285,667.079
0.431076,4.23558,-0.376325,-0.0616409,8.27613,-1.02696,-0.0769174,4.0926,-0.0152765,3.01026,0,0.193111,6.97152,0.419904,0.406572,158.490005,169.100006,163.795006,545.000000,354.413,379.57,366.992,1436.5,203.197,891.502
0.451238,4.55529,-0.391031,-0.0431674,8.83819,-1.02636,-0.0438065,4.32977,-0.000639168,4.56631,0,0.250826,6.89685,0.439508,0.428306,77.180000,1146.790039,611.985020,625.000000,352.241,378.817,365.529,1281.48,-246.456,656.481
0.471434,4.81615,-0.400105,-0.0234735,9.38686,-1.00432,-0.00889188,4.61046,0.0145816,3.10994,0,0.243295,6.58354,0.44158,0.422961,177.149994,173.029999,175.089996,691.000000,336.847,363.038,349.942,1135.81,174.852,444.807
0.491612,5.01508,-0.388475,-0.0117568,9.90519,-0.963423,0.0261658,4.9238,0.0379226,3.01721,0,0.248114,6.27725,0.476109,0.461353,161.710007,176.979996,169.345001,453.000000,319.356,347.966,333.661,1153.4,164.316,700.395
0.511693,5.2815,-0.376713,0.0174143,10.4137,-0.901576,0.0633644,5.15895,0.0459501,4.62094,0,0.298081,6.36173,0.478696,0.459772,154.550003,164.110001,159.330002,837.000000,325.15,354.123,339.636,1141.23,180.306,304.233
0.531929,5.66547,-0.350383,0.04583,10.9124,-0.821368,0.100697,5.26802,0.0548667,2.56059,0,0.312038,6.28553,0.4897,0.465396,160.339996,153.169998,156.754997,460.000000,318.51,347.641,333.076,1256.49,176.321,796.491
0.552118,5.92781,-0.335016,0.0692477,11.4233,-0.720573,0.1381,5.50905,0.0688521,5.0735,0,0.320806,6.45666,0.48238,0.46278,157.210007,173.320007,165.265007,731.000000,330.137,359.296,344.717,1123.91,179.452,392.911
0.572242,6.20859,-0.301507,0.0895277,11.9097,-0.606035,0.173867,5.70919,0.0843397,2.90235,0,0.275495,6.01647,0.442318,0.422478,159.929993,179.990005,169.959999,618.000000,306.956,333.59,320.273,1058.72,150.313,440.724
0.592383,6.56169,-0.253339,0.117669,12.3773,-0.481068,0.20616,5.82011,0.0884915,4.56009,0,0.262997,5.87018,0.411489,0.392032,163.139999,177.029999,170.084999,475.000000,298.909,323.336,311.123,1115.93,141.038,640.932
0.612578,6.77511,-0.19203,0.141699,12.8243,-0.34771,0.236083,6.05116,0.0943834,4.14647,0,0.318712,5.67913,0.367738,0.348447,163.850006,185.460007,174.655006,845.000000,291.36,313.248,302.304,942.047,127.649,97.0471
0.632835,7.06804,-0.147595,0.160074,13.2568,-0.208344,0.26263,6.18902,0.102556,3.38801,0,0.288358,5.65006,0.336612,0.320065,174.050003,186.679993,180.364998,618.000000,287.096,307.11,297.103,1191.87,116.738,573.866
0.652894,7.40257,-0.06838,0.186521,13.7073,-0.0533493,0.287762,6.30477,0.101241,3.75982,0,0.242812,6.04681,0.319004,0.304352,178.270004,192.520004,185.395004,673.000000,309.159,328.277,318.718,1167.33,133.323,494.331
0.67309,7.72549,-0.00409977,0.206439,14.1745,0.116322,0.310618,6.45017,0.10418,4.39785,0,0.25048,6.45735,0.287175,0.273407,188.479996,198.289993,193.384995,735.000000,329.982,347.061,338.521,1391.33,145.136,656.333
0.693312,8.04499,0.0710653,0.227233,14.6825,0.30819,0.330967,6.64172,0.103734,4.25356,0,0.182482,6.93446,0.247165,0.235257,200.350006,220.539993,210.445000,764.000000,355.621,370.402,363.011,1468.4,152.566,704.4
0.713451,8.44557,0.16713,0.243934,15.2268,0.520299,0.348246,6.79047,0.104312,5.53106,0,0.252537,7.36729,0.207131,0.191283,206.750000,219.339996,213.044998,863.000000,380.875,393.258,387.067,1405.46,174.022,542.463
0.733575,8.72911,0.274673,0.255047,15.7817,0.741513,0.361341,7.068,0.106294,5.2692,0,0.122409,7.60674,0.152319,0.126064,229.270004,239.970001,234.620003,918.000000,394.233,402.694,398.463,1466.64,163.843,548.643
0.753878,9.12678,0.376957,0.271428,16.3579,0.972352,0.369755,7.25562,0.0983262,4.5935,0,0.102987,7.95772,0.0831728,0.0846691,240.059998,277.649994,258.854996,855.000000,412.653,418.173,415.413,1755.92,156.558,900.92
0.773938,9.49362,0.480438,0.27813,16.9732,1.21642,0.373237,7.51572,0.0951069,5.39826,0,0.103593,8.3728,0.0110166,0.0138744,247.130005,249.600006,248.365005,965.000000,436.788,437.865,437.327,1761.49,188.962,796.487
