lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,48.1302,3,54.1302,54.1302,24.7215,46.8237,0.0644605,1.04747,2.30578,5.8472
2,44.6173,2,48.6173,48.6173,26.6774,50.1916,0.071961,1.04514,2.49931,6.29719
3,43.1546,2,47.1546,47.1546,27.5843,50.7127,0.0740458,1.04725,2.53136,6.65918
4,42.6301,2,46.6301,46.6301,27.9258,51.0456,0.0759578,1.04451,2.50165,6.48689
5,42.5102,2,46.5102,46.5102,28.0064,51.1611,0.0771196,1.04361,2.49733,6.53013
6,42.4889,2,46.4889,46.4889,28.0182,51.3586,0.0761746,1.04784,2.51112,6.42197
7,42.4974,2,46.4974,46.4889,28.0143,51.214,0.0770316,1.04488,2.53819,6.34665
8,42.5754,2,46.5754,46.4889,27.9621,51.3913,0.0770914,1.04445,2.53269,6.23611
9,42.5998,2,46.5998,46.4889,27.9458,51.4163,0.0765246,1.04582,2.52884,6.41597
10,42.6504,3,48.6504,46.4889,27.9127,51.5959,0.0770265,1.04712,2.518,6.14378
