lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.8896,3,52.8896,52.8896,25.3781,47.3649,0.0676867,1.04449,2.36655,5.80836
2,42.1058,4,50.1058,50.1058,28.3026,51.365,0.090531,1.04415,2.62274,6.62429
3,39.3011,4,47.3011,47.3011,30.3374,54.2765,0.102908,1.04637,2.82923,8.4075
4,37.4995,5,47.4995,47.3011,31.8686,56.1653,0.135373,1.05259,2.95191,10.0808
5,36.7214,10,56.7214,47.3011,32.6576,57.6903,0.179489,1.04867,3.05494,11.1444
6,36.2828,8,52.2828,47.3011,33.0327,58.5285,0.17838,1.04531,3.16685,12.5605
7,36.1849,10,56.1849,47.3011,33.2032,59.29,0.212955,1.04657,3.22149,14.593
8,35.6514,8,51.6514,47.3011,33.6009,59.8741,0.175455,1.04777,3.31358,16.2254
9,35.1765,15,65.1765,47.3011,34.2247,60.3743,0.249937,1.04818,3.42979,18.4675
10,35.274,10,55.274,47.3011,34.0512,60.7616,0.213184,1.04999,3.45648,18.7731
11,34.9252,15,64.9252,47.3011,34.4624,60.979,0.245157,1.11506,3.5128,19.5745
12,35.2175,18,71.2175,47.3011,34.2609,61.2649,0.27908,1.15905,3.51158,19.7336
13,35.9921,12,59.9921,47.3011,33.4496,61.5709,0.245923,1.13703,3.5102,20.6157
14,35.4037,9,53.4037,47.3011,33.9589,61.972,0.227525,1.16326,3.62189,21.2355
15,35.3851,13,61.3851,47.3011,34.0684,61.9317,0.267281,1.15386,3.61905,21.1085
16,35.3013,10,55.3013,47.3011,34.069,61.8083,0.235874,1.17133,3.67559,21.6351
17,35.564,12,59.564,47.3011,33.8827,62.0572,0.261489,1.17006,3.60785,22.1995
18,35.1236,10,55.1236,47.3011,34.2449,61.9935,0.237322,1.16095,3.74247,23.085
