lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,45.3932,1,47.3932,47.3932,26.0511,49.4344,0.0576509,1.0441,2.45384,7.06698
2,41.5948,1,43.5948,43.5948,28.427,50.5988,0.0646026,1.04761,2.53582,6.31809
3,40.8134,1,42.8134,42.8134,28.9709,50.9359,0.0650587,1.04612,2.53041,6.39928
4,40.5621,1,42.5621,42.5621,29.1538,51.0329,0.0642968,1.0469,2.5646,6.2261
5,40.41,1,42.41,42.41,29.2607,51.0555,0.0641094,1.0456,2.54247,6.25762
6,40.2138,1,42.2138,42.2138,29.405,51.1264,0.0689868,1.04549,2.55784,6.0449
7,40.1628,2,44.1628,42.2138,29.4569,51.4159,0.0706376,1.04461,2.54392,6.06459
8,40.0886,1,42.0886,42.0886,29.5125,51.4048,0.067376,1.04312,2.55325,6.01555
9,39.8383,1,41.8383,41.8383,29.6771,51.3527,0.0656572,1.04469,2.56169,5.88962
10,39.7698,1,41.7698,41.7698,29.7307,51.3996,0.0655918,1.04454,2.5821,5.96815
