lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.369,1,36.369,36.369,34.3752,63.837,0.0609175,1.04691,1.84894,14.9692
2,32.0495,1,34.0495,34.0495,36.8692,68.0514,0.0590304,1.04268,1.98461,6.15464
3,30.3727,1,32.3727,32.3727,38.9088,70.9426,0.0567472,1.04698,2.13874,6.66695
4,29.0995,1,31.0995,31.0995,40.6301,71.1667,0.0566794,1.04098,2.36166,7.9164
5,28.0267,1,30.0267,30.0267,42.2013,71.1516,0.0569599,1.04598,2.54187,10.1025
6,27.1846,1,29.1846,29.1846,43.5212,71.1476,0.0538339,1.0424,2.77196,13.5574
7,26.3606,1,28.3606,28.3606,44.8979,71.1297,0.0558075,1.04608,2.89554,15.035
8,25.696,1,27.696,27.696,46.0781,71.1293,0.0541427,1.04102,3.03464,16.4504
9,25.128,0,25.128,25.128,47.1674,71.1321,0.0605174,1.04738,3.06979,17.3373
10,24.5898,1,26.5898,25.128,48.2198,71.1372,0.0632998,1.04129,3.14808,17.4819
