lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.2174,2,50.2174,50.2174,25.7584,49.4986,0.0752015,1.0447,2.49508,6.96761
2,40.8349,6,52.8349,50.2174,29.2102,55.4503,0.109947,1.04679,2.98562,10.2773
3,38.1015,4,46.1015,46.1015,31.3425,57.474,0.127419,1.05008,3.28563,14.0142
4,36.3888,4,44.3888,44.3888,32.8264,58.4492,0.138107,1.04587,3.55079,19.2756
5,35.1765,3,41.1765,41.1765,34.0195,59.2928,0.163544,1.04553,3.82066,21.548
6,34.4468,8,50.4468,41.1765,34.8466,59.8265,0.210702,1.04242,4.04213,24.0283
7,34.5235,24,82.5235,41.1765,35.1582,59.9622,0.373679,1.30703,4.11188,26.6048
8,34.2038,9,52.2038,41.1765,35.2051,60.7209,0.256839,1.13971,4.39138,26.2504
9,34.0632,12,58.0632,41.1765,35.3492,61.2109,0.259783,1.14199,4.5574,26.8359
10,33.8873,9,51.8873,41.1765,35.4905,61.402,0.245564,1.0439,4.69148,28.937
11,34.2141,9,52.2141,41.1765,35.2513,61.8961,0.287654,1.15024,4.98565,29.5086
12,36.6742,23,82.6742,41.1765,33.0598,61.218,0.371804,1.29302,4.93397,30.5567
13,36.5305,18,72.5305,41.1765,33.0576,61.4877,0.291367,1.23191,5.13504,33.0288
14,35.7207,17,69.7207,41.1765,33.8101,61.9821,0.296055,1.38136,5.39894,35.2825
15,35.1874,18,71.1874,41.1765,34.362,62.3976,0.309281,1.36987,5.37239,35.7098
16,34.2435,15,64.2435,41.1765,35.307,62.2853,0.32714,1.08858,5.60433,37.5168
