lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,45.7665,2,49.7665,49.7665,26.0105,50.0813,0.0728213,1.04814,2.53705,7.4214
2,40.0491,4,48.0491,48.0491,29.7753,55.9584,0.105467,1.0487,3.03603,11.2136
3,37.2973,4,45.2973,45.2973,31.9955,57.9197,0.116487,1.04933,3.39256,16.3316
4,35.6022,2,39.6022,39.6022,33.5418,58.846,0.130091,1.04515,3.72302,20.8868
5,34.47,2,38.47,38.47,34.7048,59.6639,0.156317,1.0432,4.06733,23.9271
6,33.6571,8,49.6571,38.47,35.6431,60.428,0.197573,1.04415,4.27661,26.0321
7,33.0676,14,61.0676,38.47,36.3669,60.9846,0.236571,1.04687,4.34617,26.8772
8,32.9358,19,70.9358,38.47,36.69,60.9522,0.314362,1.1181,4.59786,29.7176
9,33.1126,25,83.1126,38.47,36.6122,61.0852,0.36343,1.10963,4.79542,30.6287
10,33.9235,13,59.9235,38.47,35.6098,61.8801,0.309193,1.12439,5.11303,31.7022
