lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,36.2093,14,64.2093,64.2093,32.9056,58.9185,0.181922,1.33227,3.862,14.9372
2,7.281,5,17.281,17.281,61.647,70.7805,5.78575,12.3017,23.165,46.6721
3,6.74374,3,12.7437,12.7437,72.1437,72.6134,6.19895,13.9539,33.4228,52.7778
4,6.71422,3,12.7142,12.7142,72.6552,72.6696,6.22103,13.9988,33.9637,52.9704
5,6.7123,3,12.7123,12.7123,72.6709,72.6713,6.22213,14.0004,33.9814,52.9763
6,6.71349,3,12.7135,12.7123,72.6714,72.6714,6.22151,14,33.9801,52.9765
7,6.71295,3,12.713,12.7123,72.6714,72.6714,6.22197,14.0004,33.9802,52.9765
8,6.71347,3,12.7135,12.7123,72.6714,72.6714,6.22156,13.9996,33.9804,52.9765
9,6.71224,3,12.7122,12.7122,72.6714,72.6714,6.22211,13.9993,33.9815,52.9765
10,6.71332,3,12.7133,12.7122,72.6714,72.6714,6.22155,13.9994,33.9801,52.9765
11,6.71337,3,12.7134,12.7122,72.6714,72.6714,6.22151,13.9991,33.9804,52.9765
12,6.71259,3,12.7126,12.7122,72.6714,72.6714,6.22166,13.9995,33.9798,52.9765
13,6.71305,3,12.713,12.7122,72.6714,72.6714,6.22141,13.9995,33.98,52.9765
14,6.71313,3,12.7131,12.7122,72.6714,72.6714,6.22194,13.9977,33.981,52.9765
