lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,44.9097,1,46.9097,46.9097,26.331,49.6164,0.0559685,1.04553,2.54239,7.3656
2,38.8685,1,40.8685,40.8685,30.4456,55.4908,0.0778345,1.0448,2.93162,11.081
3,36.1223,6,48.1223,40.8685,32.8168,57.5081,0.100893,1.043,3.11396,13.8024
4,34.3938,4,42.3938,40.8685,34.5152,58.5563,0.111824,1.04619,3.23733,16.3758
5,33.2296,5,43.2296,40.8685,35.7625,59.3284,0.127281,1.04417,3.32031,18.6097
6,32.4691,7,46.4691,40.8685,36.6607,60.2215,0.143449,1.04638,3.32991,18.5057
7,32.1139,11,54.1139,40.8685,37.1874,60.411,0.185702,1.09607,3.30914,18.5579
8,31.827,11,53.827,40.8685,37.4635,59.9816,0.168768,1.04152,3.22639,15.5133
9,31.5153,11,53.5153,40.8685,37.8994,59.8343,0.180376,1.04883,3.15444,11.9576
10,31.5363,10,51.5363,40.8685,37.9013,59.6031,0.193348,1.16178,3.0096,10.239
