lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.6665,2,38.6665,38.6665,34.0697,64.3157,0.0613706,1.04377,1.87888,14.9719
2,34.475,2,38.475,38.475,34.2587,64.3545,0.0595063,1.04405,1.77966,3.70197
3,34.4146,2,38.4146,38.4146,34.3229,63.9004,0.0619779,1.04508,1.7766,3.81373
4,34.3655,2,38.3655,38.3655,34.3734,64.424,0.0627668,1.04509,1.76507,3.62933
5,34.3701,2,38.3701,38.3655,34.3698,64.4664,0.0604113,1.04648,1.73986,3.93653
6,34.3268,2,38.3268,38.3268,34.4084,64.2948,0.0590813,1.04691,1.75203,3.71146
7,34.3443,2,38.3443,38.3268,34.398,64.0555,0.0617426,1.04519,1.76376,4.01667
8,34.2278,2,38.2278,38.2278,34.5117,64.0893,0.0616454,1.04383,1.76582,3.75067
9,34.195,2,38.195,38.195,34.5427,64.1099,0.0604336,1.04346,1.7427,3.7325
10,34.1932,3,40.1932,38.195,34.5412,64.5983,0.059791,1.04347,1.76162,3.70812
