lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,48.4732,3,54.4732,54.4732,24.5419,45.76,0.0609552,1.04729,2.26006,5.91818
2,44.5383,3,50.5383,50.5383,26.7205,47.6484,0.0678223,1.04659,2.44444,6.24687
3,41.8464,3,47.8464,47.8464,28.4865,49.2447,0.0915627,1.04509,2.62709,6.81801
4,40.0027,5,50.0027,47.8464,29.8376,50.3894,0.109729,1.04802,2.78849,7.21545
5,38.7145,6,50.7145,47.8464,30.8753,50.9881,0.132863,1.05407,2.8812,8.12675
6,37.6782,5,47.6782,47.6782,31.7201,52.0456,0.133007,1.05202,2.98777,8.41315
7,36.7211,4,44.7211,44.7211,32.5544,52.6676,0.138492,1.05119,3.14897,8.84805
8,36.0769,4,44.0769,44.0769,33.1494,53.5662,0.146521,1.05162,3.19366,9.28711
9,35.3364,5,45.3364,44.0769,33.853,54.0078,0.151087,1.05155,3.28589,9.16965
10,34.8805,6,46.8805,44.0769,34.3215,54.7522,0.162975,1.05302,3.35824,9.57439
11,34.3597,7,48.3597,44.0769,34.8539,55.2796,0.172929,1.0721,3.4098,10.7752
12,33.7985,8,49.7985,44.0769,35.4581,55.7465,0.185631,1.09679,3.51453,10.6606
13,33.3936,7,47.3936,44.0769,35.914,56.5124,0.194157,1.11359,3.57016,10.9772
