lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.632,3,52.632,52.632,25.5194,47.9619,0.066992,1.04792,2.39897,5.82495
2,42.4775,3,48.4775,48.4775,28.0329,50.5017,0.0779655,1.046,2.53218,6.48078
3,41.5472,3,47.5472,47.5472,28.6689,50.8198,0.0827083,1.04734,2.52401,6.37282
4,41.148,3,47.148,47.148,28.9523,50.9717,0.0854867,1.04728,2.54915,6.37978
5,40.883,3,46.883,46.883,29.1403,51.0687,0.085334,1.04643,2.54827,6.13667
6,40.6776,3,46.6776,46.6776,29.292,51.2693,0.08751,1.04708,2.54855,5.98935
7,40.5825,3,46.5825,46.5825,29.3576,51.2952,0.0861571,1.04506,2.54251,5.92049
8,40.4416,3,46.4416,46.4416,29.4622,51.3877,0.0877093,1.04568,2.5642,5.79795
9,40.3819,3,46.3819,46.3819,29.5101,51.3756,0.089461,1.04497,2.56818,5.77385
10,40.3089,3,46.3089,46.3089,29.5606,51.4677,0.0884999,1.04547,2.55994,5.72076
11,40.2184,3,46.2184,46.2184,29.6267,51.4425,0.0878622,1.04453,2.55039,5.78699
12,40.1827,3,46.1827,46.1827,29.6537,51.4763,0.08854,1.04535,2.55275,5.79469
13,40.1541,3,46.1541,46.1541,29.6765,51.5709,0.0892146,1.0442,2.57566,5.82131
14,40.0864,3,46.0864,46.0864,29.7259,51.6284,0.0894504,1.04647,2.56857,5.80167
15,40.0808,3,46.0808,46.0808,29.7348,51.595,0.0908072,1.04823,2.5703,5.65098
16,40.0683,3,46.0683,46.0683,29.7423,51.6944,0.0901938,1.04713,2.56208,5.66192
17,39.9943,3,45.9943,45.9943,29.7963,51.7888,0.0899196,1.04753,2.57866,5.57885
18,39.9739,3,45.9739,45.9739,29.8139,51.6028,0.0915501,1.04807,2.57541,5.7459
