lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,48.4497,3,54.4497,54.4497,24.5565,46.1284,0.0623562,1.04679,2.16301,6.4247
2,44.2529,2,48.2529,48.2529,26.9013,50.6699,0.0724207,1.04714,2.36472,6.0825
3,41.592,3,47.592,47.592,28.6497,53.5794,0.0875667,1.04434,2.58799,7.06964
4,39.7746,4,47.7746,47.592,29.9771,55.7657,0.0987655,1.04768,2.74044,8.31224
5,38.2936,4,46.2936,46.2936,31.1462,57.386,0.104292,1.04863,2.86597,9.21334
6,37.1951,5,47.1951,46.2936,32.0768,58.6285,0.10968,1.0478,2.97909,10.7245
7,36.2721,5,46.2721,46.2721,32.9167,59.4929,0.119488,1.04726,3.05639,11.0809
8,35.4899,6,47.4899,46.2721,33.665,60.3088,0.130531,1.04553,3.16902,12.1567
9,34.8937,6,46.8937,46.2721,34.2699,60.9324,0.144096,1.04537,3.22537,12.9398
10,34.4418,7,48.4418,46.2721,34.7639,61.3376,0.162323,1.04407,3.28522,14.3855
11,34.0177,5,44.0177,44.0177,35.2137,61.9005,0.168098,1.04536,3.36125,15.3183
12,33.6214,6,45.6214,44.0177,35.636,62.2547,0.171249,1.04483,3.4184,16.4434
