lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,28.8452,38,104.845,104.845,42.527,68.6583,0.594723,2.8133,2.89926,20.5392
2,28.3146,34,96.3146,96.3146,43.0378,67.9485,0.514581,1.88608,2.81288,7.87096
3,28.9763,40,108.976,96.3146,42.8381,68.4099,0.748095,3.92234,2.80488,7.50548
4,28.8089,35,98.8089,96.3146,42.926,68.4246,0.688359,2.87245,2.77681,7.97907
