lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,48.6213,3,54.6213,54.6213,24.4695,46.4896,0.0633207,1.04707,2.27749,6.04411
2,45.7605,3,51.7605,51.7605,26.0048,48.3825,0.0683149,1.04494,2.33689,8.06968
3,44.2416,3,50.2416,50.2416,26.9052,49.4,0.0726851,1.0458,2.37389,9.89347
4,43.5764,2,47.5764,47.5764,27.3184,50.0339,0.073836,1.0468,2.3667,12.6973
5,43.3148,2,47.3148,47.3148,27.5133,50.362,0.0860893,1.04557,2.34727,14.7205
6,43.5648,2,47.5648,47.3148,27.3585,50.8099,0.0866587,1.0445,2.36529,16.8956
7,43.8144,2,47.8144,47.3148,27.2154,50.9654,0.0922475,1.0433,2.38628,17.7273
8,44.138,2,48.138,47.3148,27.0106,50.7587,0.09098,1.0469,2.37725,18.1063
9,44.2499,3,50.2499,47.3148,26.9623,50.9092,0.0991282,1.04427,2.34034,18.0459
10,44.1202,2,48.1202,47.3148,27.0087,51.0494,0.0856914,1.04439,2.36839,18.2627
11,44.3769,2,48.3769,47.3148,26.8815,51.1007,0.0985263,1.04359,2.37789,19.4632
12,44.3022,2,48.3022,47.3148,26.906,51.0604,0.0895859,1.04408,2.35656,18.7902
13,44.6176,2,48.6176,47.3148,26.7373,51.2091,0.099003,1.04506,2.39652,20.0071
14,44.8682,2,48.8682,47.3148,26.5626,51.2329,0.0888461,1.04421,2.41212,20.6732
15,44.5844,3,50.5844,47.3148,26.7634,51.3902,0.101258,1.04695,2.34548,18.901
16,44.1294,2,48.1294,47.3148,27.0094,51.3114,0.0896697,1.04601,2.35834,18.7011
17,43.9904,2,47.9904,47.3148,27.1215,51.2629,0.10128,1.04422,2.35119,18.7546
18,44.5116,2,48.5116,47.3148,26.7945,51.3671,0.098077,1.04588,2.44685,21.4831
19,45.0443,2,49.0443,47.3148,26.464,51.2014,0.0908097,1.04578,2.3403,20.811
20,44.4499,2,48.4499,47.3148,26.8319,51.295,0.0968802,1.04462,2.30614,18.8502
21,43.6559,2,47.6559,47.3148,27.3136,51.2825,0.0954405,1.04435,2.32304,17.3731
22,43.3215,2,47.3215,47.3148,27.5234,51.3522,0.0948822,1.04425,2.35347,17.9467
23,43.4865,2,47.4865,47.3148,27.436,51.3959,0.102288,1.04408,2.33774,18.2835
24,43.7601,2,47.7601,47.3148,27.2465,51.4077,0.0941372,1.04418,2.38158,18.4902
25,43.6076,2,47.6076,47.3148,27.3377,51.3957,0.0927246,1.04517,2.36773,18.49
26,43.8943,2,47.8943,47.3148,27.177,51.479,0.100997,1.04441,2.37845,19.9194
27,44.0699,2,48.0699,47.3148,27.0432,51.373,0.0887405,1.04478,2.39037,19.0447
28,43.7872,2,47.7872,47.3148,27.2445,51.5102,0.100411,1.04579,2.3469,18.6784
29,43.3419,2,47.3419,47.3148,27.5102,51.6089,0.0946249,1.04463,2.31845,17.3411
30,43.1897,2,47.1897,47.1897,27.6181,51.6204,0.0999083,1.04463,2.34852,18.3118
31,43.3055,2,47.3055,47.1897,27.5334,51.7079,0.0950299,1.04712,2.30517,17.5113
32,43.0077,2,47.0077,47.0077,27.7439,51.5217,0.103425,1.04675,2.31658,16.9291
33,42.9861,2,46.9861,46.9861,27.7347,51.4175,0.0939553,1.04708,2.3968,18.048
34,43.5433,2,47.5433,46.9861,27.3986,51.5686,0.101315,1.04689,2.37871,18.703
35,43.6162,2,47.6162,46.9861,27.3399,51.4107,0.0958745,1.04766,2.34418,18.5485
36,43.8432,2,47.8432,46.9861,27.1965,51.3348,0.0955664,1.04532,2.40928,20.0321
37,44.0567,2,48.0567,46.9861,27.0738,51.4152,0.0982441,1.04571,2.36169,19.1141
38,43.72,2,47.72,46.9861,27.2764,51.4097,0.0963046,1.0466,2.37366,18.769
39,43.4519,2,47.4519,46.9861,27.4603,51.5643,0.103417,1.04473,2.36107,17.5973
