lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,47.9503,3,53.9503,53.9503,24.8176,46.803,0.0650224,1.04597,2.18015,7.35201
2,43.0506,3,49.0506,49.0506,27.6632,51.7094,0.0789714,1.04386,2.49029,7.40452
3,40.1375,3,46.1375,46.1375,29.7042,55.2104,0.0971416,1.04504,2.71202,8.27947
4,38.1904,4,46.1904,46.1375,31.2346,57.6787,0.106249,1.04786,2.87852,9.86937
5,36.7671,5,46.7671,46.1375,32.4656,59.0315,0.116644,1.04618,3.02715,11.5554
6,35.6569,6,47.6569,46.1375,33.5097,59.9663,0.131613,1.04452,3.15728,12.0797
7,34.7365,5,44.7365,44.7365,34.4215,60.7794,0.143034,1.04561,3.31606,14.0104
8,33.9684,6,45.9684,44.7365,35.2518,61.3609,0.16423,1.04456,3.39954,15.1721
9,33.3582,4,41.3582,41.3582,35.9169,62.1125,0.171991,1.04414,3.52558,17.0637
10,32.9003,11,54.9003,41.3582,36.532,62.52,0.217659,1.0441,3.59692,18.1387
11,32.4123,13,58.4123,41.3582,37.0819,62.9152,0.218769,1.04762,3.69437,18.476
12,32.1532,12,56.1532,41.3582,37.4725,63.1966,0.255569,1.17365,3.77598,20.3969
13,32.0174,19,70.0174,41.3582,37.776,63.2724,0.321663,1.40064,3.77498,21.1324
14,31.8185,17,65.8185,41.3582,37.9912,63.609,0.307526,1.34124,3.78015,21.2001
15,31.7683,18,67.7683,41.3582,38.0932,64.0099,0.318991,1.40268,3.77771,22.0781
16,31.6635,15,61.6635,41.3582,38.1691,64.3161,0.303593,1.36486,3.84202,23.1283
17,31.5203,17,65.5203,41.3582,38.3611,64.392,0.314581,1.34252,3.82882,23.5488
18,31.406,17,65.406,41.3582,38.5384,64.7526,0.327822,1.31805,3.82068,23.4677
19,31.386,16,63.386,41.3582,38.5463,64.7409,0.326864,1.33136,3.83259,23.4014
20,31.3627,16,63.3627,41.3582,38.5814,64.8423,0.33166,1.30965,3.81479,24.3109
