lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.4503,1,36.4503,36.4503,34.2911,64.2086,0.0609111,1.04253,1.85619,14.9669
2,34.1001,2,38.1001,36.4503,34.6419,65.0409,0.059282,1.04217,1.72842,3.42444
3,34.0088,2,38.0088,36.4503,34.7334,64.2606,0.0623515,1.04594,1.73894,3.621
4,34.0011,2,38.0011,36.4503,34.7392,64.6638,0.0612451,1.04672,1.76307,3.75101
5,33.9969,2,37.9969,36.4503,34.7511,64.459,0.0627863,1.04266,1.75103,3.80455
6,33.9868,1,35.9868,35.9868,34.7562,64.4852,0.0601785,1.04547,1.74294,3.62069
7,33.9188,2,37.9188,35.9868,34.8183,64.2791,0.0608952,1.04424,1.7114,3.66503
8,33.9009,2,37.9009,35.9868,34.8349,64.2851,0.0612987,1.04446,1.71496,3.83177
9,33.9007,2,37.9007,35.9868,34.8359,64.2803,0.0612647,1.04323,1.71649,3.82911
10,33.9013,2,37.9013,35.9868,34.8366,64.2935,0.0611225,1.04611,1.72202,3.8466
11,25.4057,8,41.4057,35.9868,28.2775,58.2845,1.90656,10.8598,10.6136,60.8834
12,18.7727,6,30.7727,30.7727,28.2778,52.5672,1.20474,7.99005,10.2896,61.3286
13,19.0547,3,25.0547,25.0547,28.6198,52.2666,1.40801,9.1857,10.2627,61.6625
14,30.7928,8,46.7928,25.0547,23.879,62.2324,2.76432,24.2495,7.75001,59.9032
15,43.9147,15,73.9147,25.0547,34.9627,103.224,8.15584,56.9697,20.943,81.4308
16,15.9535,6,27.9535,25.0547,35.9579,69.958,4.65063,21.8022,11.1983,60.2586
