lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,49.5024,1,51.5024,51.5024,23.8903,44.6962,0.0550551,1.04541,2.23183,5.318
2,46.3905,1,48.3905,48.3905,25.4883,47.177,0.0571579,1.04478,2.31105,4.87354
3,44.0805,1,46.0805,46.0805,26.8235,49.2031,0.0611353,1.04563,2.42583,5.49527
4,42.2955,1,44.2955,44.2955,27.9557,50.6214,0.0624799,1.04514,2.49768,5.67513
5,41.2431,1,43.2431,43.2431,28.6708,51.0109,0.0637672,1.04385,2.54631,6.61238
6,40.4974,1,42.4974,42.4974,29.2039,51.3839,0.0687159,1.04581,2.56632,6.66768
7,40.1468,1,42.1468,42.1468,29.4563,51.7122,0.0678311,1.04742,2.61304,7.17382
8,39.9307,1,41.9307,41.9307,29.6186,51.6555,0.069186,1.04464,2.60536,7.20314
9,39.7118,1,41.7118,41.7118,29.7826,51.6513,0.0670464,1.04586,2.6406,6.95171
10,39.546,1,41.546,41.546,29.9008,51.7603,0.0671847,1.04545,2.64722,6.96512
