lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,49.1328,3,55.1328,55.1328,24.218,45.5442,0.0641556,1.04718,2.18295,5.75408
2,46.0909,3,52.0909,52.0909,25.8253,48.7776,0.070957,1.04506,2.29862,5.08345
3,43.8686,2,47.8686,47.8686,27.1446,50.9221,0.0780651,1.04702,2.39108,6.11209
4,42.1673,3,48.1673,47.8686,28.2692,52.6357,0.0934628,1.04616,2.49707,6.97445
5,40.7134,3,46.7134,46.7134,29.2895,54.1962,0.102547,1.04387,2.66701,7.58296
6,39.5291,4,47.5291,46.7134,30.1777,55.5978,0.109293,1.04489,2.77149,8.30485
7,38.6296,4,46.6296,46.6296,30.8878,56.8842,0.112862,1.04724,2.86132,8.71304
8,37.7915,5,47.7915,46.6296,31.5817,57.6452,0.117332,1.04825,2.96779,8.88281
9,37.0761,5,47.0761,46.6296,32.2006,58.4334,0.122396,1.04805,3.02386,9.64069
10,36.4208,5,46.4208,46.4208,32.7873,59.1405,0.124334,1.04813,3.10252,10.3621
