lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,45.3595,1,47.3595,47.3595,26.0708,49.3653,0.0590166,1.04476,2.45279,7.03548
2,41.5594,1,43.5594,43.5594,28.4483,50.598,0.0623497,1.04643,2.527,6.33669
3,40.7616,1,42.7616,42.7616,29.0125,50.8177,0.0659212,1.04589,2.54095,6.40595
4,40.5559,1,42.5559,42.5559,29.1569,51.01,0.0655251,1.04753,2.53929,6.28111
5,40.3864,1,42.3864,42.3864,29.2851,51.2612,0.0660441,1.044,2.54298,6.32601
6,40.2941,1,42.2941,42.2941,29.3535,51.1312,0.0671093,1.04362,2.55726,5.98216
7,40.1903,2,44.1903,42.2941,29.418,51.3177,0.0656714,1.04635,2.56978,6.06292
8,40.0004,1,42.0004,42.0004,29.566,51.2948,0.069596,1.0465,2.5593,6.09754
9,39.9561,2,43.9561,42.0004,29.594,51.4208,0.0672342,1.04644,2.55248,5.87389
10,39.8788,1,41.8788,41.8788,29.6542,51.4726,0.0680574,1.04497,2.56203,5.90275
