lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,45.3775,1,47.3775,47.3775,26.0603,49.4535,0.0587395,1.047,2.45131,7.09636
2,41.3712,1,43.3712,43.3712,28.5792,50.9106,0.063202,1.04631,2.5525,7.87687
3,40.4972,1,42.4972,42.4972,29.2024,51.1223,0.0683132,1.04594,2.60647,7.63177
4,40.2417,1,42.2417,42.2417,29.3881,51.2487,0.0689287,1.044,2.61641,7.24297
5,40.0755,1,42.0755,42.0755,29.5125,51.4737,0.0703105,1.04515,2.61282,7.07176
6,39.8751,1,41.8751,41.8751,29.6573,51.5854,0.066325,1.04851,2.62544,7.21288
7,39.8056,1,41.8056,41.8056,29.7084,51.5927,0.0710339,1.04338,2.62381,7.14688
8,39.6823,1,41.6823,41.6823,29.8043,51.6516,0.0695513,1.04811,2.62424,7.10066
9,39.6043,3,45.6043,41.6823,29.8698,51.6776,0.0738291,1.04825,2.6363,6.90863
10,39.4782,2,43.4782,41.6823,29.9573,51.713,0.071147,1.04729,2.67484,6.73
