lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,42.0897,4,50.0897,50.0897,28.3092,51.5623,0.0873104,1.04898,2.71044,11.6612
2,35.0858,8,51.0858,50.0897,34.1836,58.2409,0.187446,1.04617,3.11499,14.1549
3,33.0071,12,57.0071,50.0897,36.4014,60.4368,0.214473,1.12427,3.36018,20.9563
4,32.8415,22,76.8415,50.0897,36.9863,60.7913,0.379415,1.16861,3.53501,25.4485
5,34.6599,23,80.6599,50.0897,35.0286,60.1085,0.369995,1.36797,3.39579,24.291
6,33.4089,21,75.4089,50.0897,36.2732,60.1849,0.351036,1.23809,3.37836,23.227
7,32.1359,10,52.1359,50.0897,37.4402,61.5415,0.244412,1.18418,3.34676,22.6991
8,31.4444,20,71.4444,50.0897,38.513,61.5057,0.350814,1.22864,3.50925,23.9713
9,31.8338,31,93.8338,50.0897,38.3547,60.7653,0.451941,1.49704,3.4463,23.5085
10,32.1758,22,76.1758,50.0897,37.6293,61.5267,0.33957,1.12441,3.29455,23.3906
11,31.6702,12,55.6702,50.0897,38.0509,61.77,0.278191,1.07081,3.50435,22.44
12,31.5108,27,85.5108,50.0897,38.6058,61.0508,0.413664,1.62637,3.53479,23.55
13,33.6085,30,93.6085,50.0897,36.3762,61.0214,0.461768,1.46365,3.44284,21.7055
