lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,49.7828,2,53.7828,53.7828,23.9822,45.237,0.0613808,1.04601,2.15443,5.68953
2,46.6931,3,52.6931,52.6931,25.5784,48.2845,0.0674442,1.04791,2.2443,5.24582
3,44.3175,2,48.3175,48.3175,26.9578,50.4435,0.0731415,1.04948,2.32821,6.44139
4,42.5763,3,48.5763,48.3175,28.0802,51.9663,0.0840894,1.04851,2.48105,7.12413
5,41.1091,3,47.1091,47.1091,29.0979,53.5689,0.0941175,1.04713,2.61361,7.73586
6,39.9243,3,45.9243,45.9243,29.9805,54.8655,0.10459,1.04689,2.73063,8.23423
7,38.9461,5,48.9461,45.9243,30.7459,56.2254,0.111858,1.05016,2.81708,8.59126
8,38.1201,5,48.1201,45.9243,31.4183,57.3917,0.115153,1.05188,2.89451,9.07045
9,37.3795,5,47.3795,45.9243,32.0659,58.3409,0.126498,1.0532,2.97297,9.47124
10,36.7335,5,46.7335,45.9243,32.6358,59.0387,0.127285,1.04928,3.06088,10.6936
