lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.4519,2,38.4519,38.4519,34.287,64.3768,0.0605876,1.046,1.86882,14.9754
2,33.2292,2,37.2292,37.2292,35.5569,66.1855,0.060862,1.04411,1.85629,4.56781
3,32.1914,1,34.1914,34.1914,36.708,68.0143,0.0578721,1.04406,1.94845,5.20295
4,31.2147,1,33.2147,33.2147,37.8548,69.6985,0.0583646,1.04585,2.04797,5.61855
5,30.4603,1,32.4603,32.4603,38.8036,71.1574,0.059949,1.04586,2.15094,6.22113
6,29.8207,2,33.8207,32.4603,39.6405,71.1788,0.059623,1.04666,2.20784,6.81604
7,29.3314,1,31.3314,31.3314,40.3032,71.145,0.0581605,1.04189,2.44609,8.29001
8,28.7648,1,30.7648,30.7648,41.1094,71.1463,0.0589645,1.04045,2.562,9.66079
9,28.2689,1,30.2689,30.2689,41.8384,71.129,0.0574562,1.04702,2.65024,10.8783
10,27.7758,1,29.7758,29.7758,42.5761,71.1295,0.0579547,1.04078,2.77129,12.558
