lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,48.9684,3,54.9684,54.9684,24.2969,46.4204,0.0631208,1.04561,2.27454,5.78026
2,46.3654,3,52.3654,52.3654,25.6659,47.0045,0.0663179,1.04775,2.25994,6.02567
3,45.1621,3,51.1621,51.1621,26.3549,47.5451,0.0695967,1.04528,2.26269,6.09796
4,44.5948,3,50.5948,50.5948,26.6937,48.0006,0.070943,1.04523,2.22598,5.79904
5,44.3091,2,48.3091,48.3091,26.8675,47.9048,0.0719919,1.04574,2.21949,5.73176
6,44.2496,3,50.2496,48.3091,26.9044,47.8186,0.0724372,1.04385,2.21934,5.54806
7,44.0877,3,50.0877,48.3091,27.0031,48.1038,0.0727598,1.04658,2.20345,5.58178
8,44.0614,3,50.0614,48.3091,27.0172,47.953,0.0716979,1.04732,2.21947,5.52621
9,43.9175,2,47.9175,47.9175,27.1068,48.3824,0.0721298,1.04661,2.21416,5.44267
10,43.8347,2,47.8347,47.8347,27.1596,48.2125,0.0732849,1.04366,2.21549,5.07532
11,43.7591,2,47.7591,47.7591,27.2049,48.3088,0.0722216,1.04615,2.22643,5.35205
12,43.6888,2,47.6888,47.6888,27.2523,48.2719,0.0742289,1.04714,2.22041,5.34878
13,43.712,2,47.712,47.6888,27.2363,48.1442,0.0731701,1.04548,2.21432,5.33251
14,43.695,2,47.695,47.6888,27.2491,48.1788,0.0748057,1.04655,2.23875,5.3196
