lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,47.9287,3,53.9287,53.9287,24.8281,46.8953,0.0646873,1.04621,2.21552,7.20034
2,43.0006,2,47.0006,47.0006,27.697,51.7297,0.0797732,1.04505,2.48735,7.12809
3,40.1972,3,46.1972,46.1972,29.6612,55.186,0.0985326,1.04416,2.69975,8.26052
4,38.1729,4,46.1729,46.1729,31.2477,57.6162,0.106158,1.04937,2.92105,9.63654
5,36.7439,5,46.7439,46.1729,32.4866,59.0522,0.116811,1.04734,3.02285,12.0158
6,35.6591,6,47.6591,46.1729,33.5093,60.053,0.133078,1.04544,3.14171,11.9747
7,34.7396,5,44.7396,44.7396,34.4299,60.8998,0.149453,1.04405,3.25648,13.7402
8,34.0616,6,46.0616,44.7396,35.1651,61.45,0.168147,1.04577,3.42977,15.0438
9,33.3915,5,43.3915,43.3915,35.895,62.0381,0.178528,1.04681,3.55204,16.8249
10,32.8834,10,52.8834,43.3915,36.5329,62.5779,0.210954,1.04489,3.59303,17.8974
