lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.3953,3,40.3953,40.3953,34.346,64.4363,0.0607036,1.04331,1.91409,14.9708
2,32.7388,2,36.7388,36.7388,36.0915,66.6876,0.059175,1.04216,1.91108,5.16265
3,31.3347,1,33.3347,33.3347,37.7096,69.3477,0.0580785,1.04559,1.97824,5.58352
4,30.2874,2,34.2874,33.3347,39.018,70.9277,0.0568496,1.04335,2.16953,6.42863
5,29.3713,2,33.3713,33.3347,40.2443,71.1835,0.0562512,1.04252,2.2597,6.68918
6,28.6084,1,30.6084,30.6084,41.3353,71.1638,0.0565944,1.04043,2.41839,8.60038
7,27.8273,1,29.8273,29.8273,42.5008,71.1561,0.0563166,1.04557,2.54552,10.2219
8,27.2157,1,29.2157,29.2157,43.473,71.1407,0.0544819,1.04051,2.73056,12.5255
9,26.6205,1,28.6205,28.6205,44.4645,71.1356,0.0566152,1.04481,2.84944,14.152
10,26.0475,1,28.0475,28.0475,45.452,71.1282,0.0563645,1.04769,2.94613,14.5381
