lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.0271,1,48.0271,48.0271,25.6928,48.9947,0.0565358,1.04576,2.44323,6.70035
2,42.496,1,44.496,44.496,27.8251,50.4459,0.0635978,1.04641,2.53306,6.52238
3,41.3733,1,43.3733,43.3733,28.577,50.8651,0.0623579,1.04418,2.56816,6.64579
4,40.9966,1,42.9966,42.9966,28.8415,51.0483,0.0642502,1.04459,2.5606,6.2321
5,40.6755,1,42.6755,42.6755,29.0754,51.1267,0.0686388,1.04713,2.5285,5.9774
6,40.4147,1,42.4147,42.4147,29.2686,51.2923,0.066538,1.04379,2.54074,6.16788
7,40.245,1,42.245,42.245,29.3849,51.2436,0.0697128,1.04478,2.53304,6.14836
8,40.1301,1,42.1301,42.1301,29.4647,51.3839,0.0673041,1.04508,2.5499,6.10272
9,40.019,1,42.019,42.019,29.5526,51.3695,0.0687949,1.04511,2.56055,6.03408
10,39.9228,1,41.9228,41.9228,29.6227,51.5411,0.0651911,1.04785,2.60314,5.84705
