lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,45.3403,1,47.3403,47.3403,26.082,49.5647,0.0566116,1.04694,2.47117,7.16022
2,41.3567,2,45.3567,45.3567,28.5987,50.9902,0.0693061,1.04782,2.54806,7.67242
3,40.4962,1,42.4962,42.4962,29.2058,51.2793,0.0677988,1.04375,2.60055,7.29423
4,40.2421,1,42.2421,42.2421,29.3909,51.3866,0.0677535,1.04512,2.61054,7.10227
5,40.0522,1,42.0522,42.0522,29.5242,51.4362,0.0704287,1.0472,2.60903,7.11625
6,39.8367,1,41.8367,41.8367,29.6907,51.6193,0.0707782,1.04438,2.63113,6.95397
7,39.8011,1,41.8011,41.8011,29.7122,51.5857,0.0691304,1.0444,2.64309,6.99864
8,39.7372,2,43.7372,41.8011,29.7806,51.7847,0.0772744,1.04685,2.61792,7.00153
9,39.5718,1,41.5718,41.5718,29.8909,51.7156,0.0669503,1.0445,2.64797,6.89427
10,39.4489,1,41.4489,41.4489,29.9749,51.7708,0.0700835,1.04695,2.67429,6.9538
11,28.062,8,44.062,41.4489,20.309,47.6529,1.1045,7.92359,6.00941,46.6014
