lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,47.0072,3,53.0072,53.0072,25.3126,47.2202,0.0652785,1.04467,2.35781,5.76665
2,43.2902,3,49.2902,49.2902,27.504,49.3018,0.0748251,1.04685,2.44368,5.35027
3,42.1527,3,48.1527,48.1527,28.255,49.9229,0.0799819,1.0452,2.43533,5.42952
4,41.7136,3,47.7136,47.7136,28.5561,49.9232,0.0814222,1.04782,2.40451,5.23025
5,41.4881,4,49.4881,47.7136,28.7126,50.0506,0.0821018,1.04613,2.41671,5.16939
6,41.3574,3,47.3574,47.3574,28.8006,50.2359,0.0812551,1.04508,2.41951,5.04638
7,41.2105,4,49.2105,47.3574,28.9077,50.2294,0.0833568,1.04376,2.42247,4.84836
8,41.1738,4,49.1738,47.3574,28.9337,50.2445,0.0838119,1.0438,2.40465,4.95226
9,41.0374,4,49.0374,47.3574,29.0311,50.4246,0.0841465,1.04768,2.42101,4.8941
10,40.9952,4,48.9952,47.3574,29.0612,50.488,0.0841045,1.04556,2.42608,4.86758
11,40.8654,3,46.8654,46.8654,29.1525,50.3734,0.0840611,1.04811,2.42464,4.70655
