lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,45.3437,1,47.3437,47.3437,26.0784,49.4482,0.0562525,1.04422,2.45048,7.18834
2,41.2755,1,43.2755,43.2755,28.644,50.8667,0.0613657,1.04464,2.56226,7.83519
3,40.4474,1,42.4474,42.4474,29.2358,51.2268,0.0643021,1.04554,2.58647,7.2312
4,40.2382,1,42.2382,42.2382,29.396,51.3574,0.0705398,1.04643,2.62789,7.14868
5,40.0562,1,42.0562,42.0562,29.5201,51.4057,0.0656586,1.04596,2.6285,7.27164
