lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,37.0537,2,41.0537,41.0537,32.2621,63.6813,0.135631,1.04594,4.33187,29.2074
2,33.2477,19,71.2477,41.0537,36.5058,68.925,0.363428,1.42112,4.92396,29.8875
3,32.0287,30,92.0287,41.0537,38.1024,69.1903,0.447537,1.74161,5.10358,30.3212
4,30.8738,26,82.8738,41.0537,39.4199,69.2829,0.411687,1.60723,5.40352,31.1339
5,29.7761,26,81.7761,41.0537,40.8154,69.737,0.398043,1.54384,5.61235,30.7541
6,29.0375,23,75.0375,41.0537,41.83,70.1291,0.382812,1.51557,5.74528,33.4282
7,28.9773,32,92.9773,41.0537,42.3236,69.8905,0.523286,2.26939,5.7758,35.2257
8,29.4403,39,107.44,41.0537,41.6642,70.5927,0.509702,2.11906,5.44144,35.7704
9,30.1285,32,94.1285,41.0537,40.627,70.6309,0.472838,1.7861,5.2409,37.6423
10,30.0951,33,96.0951,41.0537,40.5828,70.8617,0.436023,1.68245,5.26157,39.0297
11,29.4839,31,91.4839,41.0537,41.4365,70.6646,0.462876,1.61325,5.449,40.3615
12,29.7784,36,101.778,41.0537,41.2718,70.7594,0.540016,2.03405,5.4526,40.5966
13,29.2359,27,83.2359,41.0537,41.7651,71.113,0.431578,1.69263,5.35179,41.0948
14,29.2962,35,99.2962,41.0537,41.9964,71.2691,0.522438,1.90178,5.37276,40.4471
15,29.9847,33,95.9847,41.0537,40.9758,71.3254,0.496262,1.95775,5.25529,40.2968
16,29.8983,31,91.8983,41.0537,41.0426,71.3884,0.472392,2.00897,5.27592,40.4565
17,29.4192,30,89.4192,41.0537,41.6363,71.3536,0.46333,1.88774,5.37187,39.765
18,29.3001,30,89.3001,41.0537,41.74,71.2632,0.458678,1.63768,5.38127,39.1254
19,29.7022,34,97.7022,41.0537,41.3096,71.2505,0.504506,1.97557,5.30571,39.5552
20,29.9056,34,97.9056,41.0537,41.0745,71.1275,0.514114,1.86972,5.31191,40.4652
21,29.4753,34,97.4753,41.0537,41.6073,71.2274,0.503482,1.86133,5.36214,39.8663
22,29.7755,33,95.7755,41.0537,41.3006,71.2528,0.527779,1.83004,5.30244,40.2161
