lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.888,13,60.888,60.888,34.1427,64.3411,0.163744,1.05553,1.60814,15.2809
2,34.7173,14,62.7173,60.888,34.3035,64.5932,0.171,1.07559,1.52942,3.56949
3,34.6405,10,54.6405,54.6405,34.3184,64.4449,0.141214,1.04458,1.52239,3.49494
4,34.7371,12,58.7371,54.6405,34.2751,64.4592,0.164002,1.05268,1.50889,3.7183
5,34.7051,12,58.7051,54.6405,34.2969,64.6453,0.163536,1.04891,1.51764,3.77682
6,34.5725,8,50.5725,50.5725,34.3391,64.2121,0.1356,1.04442,1.46976,3.86939
