lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.5242,1,36.5242,36.5242,34.2162,63.7781,0.0591957,1.0448,1.88741,14.9739
2,33.5756,1,35.5756,35.5756,35.1841,65.6187,0.0576515,1.04343,1.85535,4.68838
3,32.7284,1,34.7284,34.7284,36.104,68.1268,0.0609525,1.04484,1.92984,4.84493
4,32.0652,2,36.0652,34.7284,36.8474,68.7034,0.0580082,1.04511,2.01447,5.40766
5,31.3491,2,35.3491,34.7284,37.6994,69.8101,0.0576121,1.04401,2.04539,5.29752
6,30.7809,1,32.7809,32.7809,38.3983,70.7554,0.060428,1.04222,2.14599,5.78584
7,30.3176,1,32.3176,32.3176,38.9868,71.2829,0.0586789,1.04311,2.21669,6.30635
8,29.9401,2,33.9401,32.3176,39.4818,71.1635,0.0592143,1.04407,2.24516,6.7912
9,29.6179,1,31.6179,31.6179,39.9208,71.1718,0.0580511,1.04685,2.36174,7.48668
10,29.1573,1,31.1573,31.1573,40.5506,71.1479,0.0593544,1.04441,2.51825,8.86135
11,18.125,6,30.125,30.125,31.4101,58.1359,1.01485,6.81107,12.9112,70.5206
