lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,34.3304,2,38.3304,38.3304,34.4141,64.2262,0.0600076,1.04179,1.90728,14.9829
2,31.469,2,35.469,35.469,37.5501,69.2413,0.0582602,1.04579,2.05375,6.18041
3,29.64,1,31.64,31.64,39.8858,71.1827,0.0592945,1.04662,2.32219,8.04743
4,28.2128,1,30.2128,30.2128,41.9117,71.1765,0.0568529,1.04212,2.67002,11.3569
5,27.0351,1,29.0351,29.0351,43.7618,71.156,0.056556,1.04175,2.91961,15.3541
6,26.0392,1,28.0392,28.0392,45.4594,71.1346,0.0565563,1.04701,3.10851,16.2795
7,25.1758,0,25.1758,25.1758,47.0658,71.1307,0.0574937,1.04094,3.17429,17.957
8,24.4265,1,26.4265,25.1758,48.5416,71.1429,0.0610942,1.04466,3.27706,18.9916
9,23.8597,1,25.8597,25.1758,49.7717,71.1408,0.0772253,1.05038,3.38883,19.6389
10,23.4127,0,23.4127,23.4127,50.8237,71.1383,0.105577,1.05447,3.43373,20.4695
