lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.5842,2,50.5842,50.5842,25.5461,46.9223,0.0675018,1.0452,2.35384,7.31154
2,41.4188,3,47.4188,47.4188,28.7973,49.7102,0.101499,1.05035,2.69125,7.30029
3,38.88,6,50.88,47.4188,30.7612,51.5819,0.143823,1.05362,2.95097,8.13288
4,37.2701,4,45.2701,45.2701,32.1024,52.962,0.155691,1.04742,3.11811,8.9866
5,36.2651,5,46.2651,45.2701,33.011,54.3076,0.167066,1.05394,3.28928,10.0709
6,35.4088,8,51.4088,45.2701,33.8585,55.009,0.193036,1.0937,3.3703,10.6275
7,34.6683,13,60.6683,45.2701,34.6533,56.2074,0.227151,1.14854,3.45389,10.6908
8,33.8256,11,55.8256,45.2701,35.5405,56.6136,0.231631,1.10741,3.53017,11.5949
9,33.0293,12,57.0293,45.2701,36.4156,56.483,0.243074,1.10444,3.58391,12.5183
10,32.6453,15,62.6453,45.2701,36.9352,57.1624,0.279645,1.10093,3.64973,12.6802
11,32.3049,14,60.3049,45.2701,37.259,57.2809,0.253299,1.09796,3.71178,13.4198
