lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.6898,3,52.6898,52.6898,25.4883,47.9792,0.0678436,1.04647,2.40497,5.7596
2,42.4906,3,48.4906,48.4906,28.0271,50.6075,0.0803819,1.04612,2.52719,6.75288
3,41.5117,3,47.5117,47.5117,28.6952,50.8819,0.083937,1.04762,2.52696,6.46764
4,41.1401,3,47.1401,47.1401,28.9605,51.0904,0.0875541,1.04443,2.54546,6.19592
5,40.895,3,46.895,46.895,29.1392,51.281,0.0902664,1.04411,2.54288,6.26392
6,40.707,3,46.707,46.707,29.2741,51.2658,0.0900896,1.04396,2.55578,5.98311
7,40.6106,3,46.6106,46.6106,29.3429,51.3171,0.0899525,1.04862,2.55117,6.00886
8,40.4466,3,46.4466,46.4466,29.4657,51.3865,0.0923183,1.04454,2.5477,5.83748
9,40.3825,3,46.3825,46.3825,29.5171,51.4383,0.0939676,1.04741,2.57354,5.77492
10,40.3323,3,46.3323,46.3323,29.5484,51.4272,0.0919974,1.04453,2.56796,5.96057
11,40.2155,3,46.2155,46.2155,29.636,51.4917,0.0928343,1.04787,2.57527,5.67808
12,40.1877,3,46.1877,46.1877,29.6608,51.5283,0.0950435,1.04639,2.58044,5.69329
13,40.1422,3,46.1422,46.1422,29.6903,51.5349,0.0925264,1.04569,2.56587,5.81735
14,40.0958,3,46.0958,46.0958,29.723,51.5622,0.0922043,1.04491,2.60149,5.7932
15,40.0793,3,46.0793,46.0793,29.7399,51.5861,0.0943127,1.04577,2.58517,5.77141
16,40.0534,3,46.0534,46.0534,29.7585,51.6378,0.0939309,1.04892,2.57735,5.58408
17,40.3912,6,52.3912,46.0534,29.6151,52.2381,0.154882,1.06919,2.63175,12.1088
18,40.1292,4,48.1292,46.0534,29.7327,51.67,0.111525,1.04597,2.62182,6.89319
19,39.9818,3,45.9818,45.9818,29.8109,51.6758,0.0935365,1.0487,2.59179,5.73854
20,39.9872,3,45.9872,45.9818,29.8134,51.7655,0.0972636,1.04616,2.59679,5.49625
21,39.9471,3,45.9471,45.9471,29.8414,51.8277,0.0961219,1.0463,2.58355,5.60706
22,39.9525,3,45.9525,45.9471,29.8347,51.8045,0.0945102,1.04724,2.59125,5.68058
23,39.9067,3,45.9067,45.9067,29.8692,51.6937,0.0950769,1.04808,2.58729,5.66113
24,39.9053,3,45.9053,45.9053,29.8712,51.6993,0.0946936,1.04613,2.58189,5.56173
25,39.9019,3,45.9019,45.9019,29.8719,51.6983,0.0944353,1.04629,2.58586,5.71295
26,39.8912,3,45.8912,45.8912,29.8834,51.6999,0.0958559,1.04664,2.58601,5.60277
27,39.9042,3,45.9042,45.8912,29.8705,51.7012,0.0945119,1.04715,2.57667,5.55563
