lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,48.3115,3,54.3115,54.3115,24.6347,46.2298,0.0676498,1.04751,2.18603,6.5484
2,43.7472,3,49.7472,49.7472,27.2224,51.0693,0.0796954,1.0466,2.43914,6.28491
3,40.9326,3,46.9326,46.9326,29.1416,53.9762,0.107568,1.04517,2.6548,7.53928
4,38.9327,4,46.9327,46.9326,30.646,56.6326,0.112273,1.04577,2.82958,8.56405
5,37.4017,5,47.4017,46.9326,31.925,58.3071,0.124785,1.0509,2.9501,10.3611
6,36.3033,5,46.3033,46.3033,32.9178,59.4482,0.13648,1.04954,3.0675,10.9665
7,35.3608,7,49.3608,46.3033,33.8581,60.3692,0.169463,1.04589,3.19234,12.1336
8,34.6006,6,46.6006,46.3033,34.65,61.332,0.189605,1.04414,3.2927,14.4189
9,33.8664,8,49.8664,46.3033,35.4246,61.8787,0.196845,1.0447,3.42493,15.6194
10,33.4864,14,61.4864,46.3033,35.9936,62.3629,0.257214,1.12284,3.51892,16.4546
