lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,46.7219,3,52.7219,52.7219,25.4726,48.0791,0.069861,1.04481,2.39015,5.74973
2,42.5442,4,50.5442,50.5442,28.0041,50.6031,0.0877926,1.04613,2.55729,6.80563
3,41.5796,4,49.5796,49.5796,28.6584,50.874,0.0904922,1.04394,2.53014,6.46196
4,41.2351,4,49.2351,49.2351,28.9089,51.1481,0.0959299,1.04458,2.56083,6.32575
5,40.9852,4,48.9852,48.9852,29.0834,51.2,0.0954022,1.04735,2.56786,6.111
6,40.8231,4,48.8231,48.8231,29.2028,51.3535,0.0975028,1.04558,2.55093,6.21466
7,40.6484,4,48.6484,48.6484,29.3313,51.2866,0.0985636,1.04789,2.54377,6.11915
8,40.5282,4,48.5282,48.5282,29.4186,51.4385,0.0994188,1.04644,2.57718,5.81634
9,40.43,4,48.43,48.43,29.4972,51.4027,0.102904,1.04904,2.5795,5.91471
10,40.3963,4,48.3963,48.3963,29.5202,51.4595,0.102313,1.04865,2.57637,5.95859
