try,kind,score,param.motor.kt_constant,param.inverter.max_phase_current,param.inverter.acceleration_delay_ms,param.inverter.efficiency,param.battery.max_discharge_current,param.battery.initial_soc,param.battery.min_voltage,param.transmission.viscous_drag_coeff,param.transmission.coulomb_drag,param.transmission.efficiency,param.transmission.t_max,param.transmission.kv,param.car.front_bearing_drag,param.steering.ackerman_factor,param.steering_motor.time_constant,param.aero.lift_coefficient,param.aero.drag_coefficient,param.aero.aero_balance_front,param.tire.effective_tire_r,param.tire.slip_ratio_relaxation_length,param.tire.slip_angle_relaxation_length,param.tire.longitudinal_peak_scale,param.tire.longitudinal_stiffness_scale,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.longitudinal_peak_pdx1,param.tire.longitudinal_stiffness_pkx1,param.tire.longitudinal_curvature_pex1,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.combined_slip_lateral_scale,param.tire.structural_longitudinal_stiffness,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
0,staged_genetic,19.623410342060073,0.7133221138331354,390.0,0.0,0.9764323777361831,183.3337287614195,0.8689184709481579,349.43148587398707,0.0,0.0,0.981877832047299,361.5055953976007,58.48433543089377,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18217369020446572,0.0475034894401475,0.08337538164312222,1.493161901474767,1.1247054264980267,1.1305734743778748,0.8769670144974244,1.0553523312698423,25.0,1.4301675997941354,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,322204.3901689281,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,7.269502185259596,0.27091722080975106,1.8639152435822541,1.8551750523037072,0.18029298535503857,0.13438191739031374,95.19804812059296,320.5289517706146,161,,
1,staged_genetic,17.407210114909073,0.7106587641827732,388.6864602451496,49.25546234776119,0.9764003563018235,184.13720312830085,0.8740054215767697,355.1190591141586,0.0,0.0,0.9842909455664051,385.02472251326645,67.91696598767831,0.15387941551693962,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18134287280039693,0.047993498446360645,0.08337538164312222,1.6474939493052925,1.2444173571975277,1.1305734743778748,0.8769670144974244,1.0742084660057927,25.029022426565653,1.5121833968870855,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,262289.6858120747,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,7.176255002066951,0.25254256216113175,1.647699236098898,1.6383386897896406,0.17538275336890385,0.14356839814990272,77.16057702253646,303.1236261116881,159,,
2,staged_genetic,18.347182757802074,0.6914807534473515,386.6376970912709,41.5229403726233,0.9751509635718203,187.56011800372744,0.8416264723750456,340.28074917941956,0.004748699613286552,0.8795621641725446,0.9716864037323397,360.98837759212455,65.03672435460743,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18,0.041767301476586596,0.08337538164312222,1.3079461817761493,1.1776420821824742,1.1305734743778748,0.8769670144974244,0.9659503063250982,36.36503894625463,1.5280254226925432,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,314621.11549027887,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,8.211225144526619,0.39614079070057995,1.4597215221405808,1.4431899789760814,0.2190653025548151,0.10601711172643148,113.34935049878719,347.89431881914754,159,,
3,staged_genetic,20.338830725893878,0.6715182300986062,389.84853607697534,0.0,0.977566899948024,174.89489017175563,0.8189058242102925,344.08988506502175,0.010576836303380226,0.0,0.9782315957408597,345.531462686848,57.58392484823283,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18614945516012615,0.05406201238220617,0.08337538164312222,1.488229873972862,1.1212185521437779,1.1305734743778748,0.8769670144974244,0.9133594743177514,28.286993510094437,1.3054141071287433,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,284717.5554108289,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.429912193225997,0.29160334241702096,2.0955961437158144,2.086215876179662,0.19805684924414574,0.13187018408615575,110.69429692492889,208.06607399087702,162,,
4,staged_genetic,23.03333602756059,0.7236490301060874,390.0,9.560738395569471,0.984887364290667,200.76490827109083,0.8824858686721111,349.8561324253791,0.013041363432839707,1.0329099898583523,0.99,356.81013582605107,60.33391582824529,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18155617215502404,0.024135785551072233,0.08337538164312222,1.5080144974852683,1.1101943291306957,1.1305734743778748,0.8769670144974244,1.190291643808129,44.275307358147714,1.3583700747070502,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,294965.8088529989,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.102608665351773,0.26739239753689703,2.4795405068288274,2.471924752113472,0.1941884262609678,0.14154125977947057,110.38138537446736,254.0100500445227,160,,
5,staged_genetic,38.8606485088084,0.7026554075313675,390.0,0.0,0.97128071570256,186.31940148061574,0.8526443366543276,353.09160856610345,0.017406518064634068,0.7979333697286992,0.9728218047921964,348.18227178436143,61.42492110820738,0.08414612748642358,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18,0.04200765667806435,0.08337538164312222,1.6064596363940622,1.2706199146332289,1.1305734743778748,0.8769670144974244,0.7153393916540564,33.059316722771634,1.4623509858956443,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,349542.2997571192,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,7.277324979620572,0.19897880132814458,3.7125206098615036,3.7091203810705973,0.15885615308554846,0.18893438684492347,242.26537222964657,543.8175901817261,161,,
6,staged_genetic,19.855577776945353,0.6869545925829,390.0,0.0,0.9721576221199861,182.09720386365908,0.9123071852845289,356.37779650381026,0.0,0.10871405056181016,0.9840952472579586,343.104759609262,63.72149073501998,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18551630099741473,0.05478708970060361,0.08337538164312222,1.4948986625759757,1.2025450304686822,1.1305734743778748,0.8769670144974244,1.141996324885185,25.0,1.3473589953321725,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,336519.6829233982,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.906446253222019,0.2534009098935038,1.9461029882122962,1.9380108109029928,0.17728772532793902,0.1596559538458552,93.51886366750144,308.0741563344944,160,,
7,staged_genetic,25.43763680722886,0.7204581262474407,390.0,60.32916966939599,0.9688296255643232,179.24459974936536,0.8572878163670369,355.7167562681204,0.0018950411980900592,1.6936999629267497,0.9664269882419714,363.0183688777254,59.79019630168804,0.1700151444857665,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18,0.018203006494992457,0.08337538164312222,1.3998260690517832,0.9841631858979676,1.1305734743778748,0.8769670144974244,1.037706275647685,25.0,1.4869380897122104,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,324905.34914792725,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,8.372158119835738,0.20305448243792604,2.648160824729279,2.6433136685583545,0.16015181311314405,0.16648234311059545,119.02264682996719,312.0927337073131,167,,
8,staged_genetic,18.489229971639716,0.7239318857839095,388.5523864691516,0.0,0.9792457067919288,189.86591304680206,0.9187744841524862,347.4481704063609,0.0,0.4825335763799691,0.99,330.6338287341157,59.683479160426174,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18370728581533757,0.050733386047408326,0.08337538164312222,1.4398559706453602,1.0963489316476445,1.1305734743778748,0.8769670144974244,1.1378480460261111,29.305408536358755,1.4124063277102008,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,308858.4536116376,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,8.663060347072353,0.258255020827316,1.366975334026308,1.355839225468906,0.17413086606404496,0.11931312595365262,125.59496685829887,357.37783182162104,164,,
9,staged_genetic,22.04796414010538,0.721803765694025,380.64403601717976,49.93211277330756,0.9837680013651673,185.00960661787266,0.8919003411043603,361.7417594635721,0.0,0.23790214308157764,0.9630669114888555,352.8849678758732,60.94498719817422,0.029298201900648642,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18,0.0701186285554645,0.08337538164312222,1.5117658168814296,1.2452097839858407,1.1305734743778748,0.8769670144974244,1.1326173870219682,25.819197144033115,1.2772344776660565,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,376345.6022374934,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.462917523821586,0.24218281818374168,2.2284837631615084,2.221538255361397,0.17580575258027412,0.17570682944817134,107.38285560075194,310.6423314015433,161,,
