elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate
0.006778120000490162,1.3130562116969106e-07,1.5914802936269056e-14,4.0187579810485336e-07,2.4575847098345016e-05,0.0,0.0,2.4444541477175325e-05,-4.0187579810485336e-07,0.00010273003023583113,0.0,0.0001924421675528216,0.0,0.0,0.0
0.007569985000372981,1.3909431498275157e-07,1.9044647776389623e-14,4.6725471960346304e-07,3.9104624447661857e-05,0.0,0.0,3.8965530132679106e-05,-4.6725471960346304e-07,0.00010273003023583113,0.0,0.0001924421675528216,0.011935434572729128,1.6658390320276114e-54,0.0
0.026017707999926643,2.812624698059163e-06,2.281294429831058e-11,1.5895217176984007e-05,0.0008088582983997606,0.0,0.0,0.0008060456737017018,-1.5895217176984007e-05,0.00010273003023583113,0.0,0.001002083160258134,0.01584167065930638,2.2449122956752418e-54,0.0
0.027206622000448988,3.053755800512381e-06,2.664577520035721e-11,1.8247337746389873e-05,0.000954655358535559,0.0,0.0,0.0009516016027350469,-1.8247337746389873e-05,0.00010273003023583113,0.0,0.001002083160258134,0.06703645439711772,8.839054779492066e-54,0.0
0.046053619000304025,4.438845183267763e-06,5.6916539249053324e-11,3.070281358548704e-05,0.002619096834509017,0.0,0.0,0.0026146579893257496,-3.0702813585487045e-05,0.00010273003023583113,0.0,0.0013503928229247203,0.07004734338402477,9.143163507488079e-54,0.0
0.04723412300063501,4.438845183267763e-06,5.6916539249053324e-11,3.070281358548704e-05,0.002860056203985984,0.0,0.0,0.0028556173588027167,-3.0702813585487045e-05,0.00010273003023583113,0.0,0.0013503928229247203,0.11387287971188301,1.1100037483056794e-53,0.0
0.06611634199998662,-0.0033545870420551797,0.00809820094255498,-0.0003266378705694954,0.005398814360410889,0.0,0.0,0.01192488551805397,0.00032663787056949535,0.00010273003023583113,0.0,-0.002894748980814151,0.11897613269128585,1.1009854336968862e-53,0.0
0.06739319400003296,-0.0033545870420551797,0.00809820094255498,-0.0003266378705694954,0.005561925904272784,0.0,0.0,0.012045126052807938,0.00032663787056949535,0.00010273003023583113,0.0,-0.002894748980814151,0.16171518442137764,7.014523055491025e-54,0.0
0.08615681900027994,-0.003352721307100674,0.008098200296580493,-0.0003630078351676741,0.009133679574615864,0.0,0.0,0.014882575550705863,0.0003630078351676741,0.00010273003023583113,0.0,0.0030179692634216323,0.16664453252548417,6.282513917739793e-54,0.0
0.08721068600061699,-0.003352721307100674,0.008098200296580493,-0.0003630078351676741,0.00932393579763461,0.0,0.0,0.015042555746766302,0.0003630078351676741,0.00010273003023583113,0.0,0.0030179692634216323,0.20871105661097886,-7.549715657725577e-55,0.0
0.10619459600002301,-0.003350520633852999,0.008098199503644654,-0.0005556272263214234,0.013815809670367734,0.0,0.0,0.018980614618985276,0.0005556272263214234,0.00010273003023583113,0.0,-0.008820688230119856,0.2108196143330846,-1.0724376038152463e-54,0.0
0.10727119900002435,-0.003350520633852999,0.008098199503644654,-0.0005556272263214234,0.014001465800544137,0.0,0.0,0.019148688425590216,0.0005556272263214234,0.00010273003023583113,0.0,-0.008820688230119856,0.25523091745875764,-4.860781808664628e-54,0.0
0.12604253300014534,-0.0033486164455429576,0.008098198321764736,-0.0008244584600502443,0.019378921434843693,0.0,0.0,0.02412720029682357,0.0008244584600502443,0.00010273003023583113,0.0,-0.021174098207153928,0.2568971945405475,-4.8707592824507964e-54,0.0
0.12765193599989288,-0.003347960946360308,0.008098197775765604,-0.0009815716961787077,0.019657446538907403,0.0,0.0,0.024389128331669143,0.0009815716961787079,0.00010273003023583113,0.0,-0.02720415874922631,0.30097254530122763,-1.815982161780339e-54,0.0
0.14601692700034619,-0.0026499155958046687,0.008097421882942019,-0.0011161544414591599,0.025843167287847992,0.0,0.0,0.029621343881820226,0.0011161544414591599,0.1245343041415093,0.0,-0.0007999374144201199,0.30307693760004617,-1.5610275939651466e-54,0.0
0.14718012499997712,-0.0026499155958046687,0.008097421882942019,-0.0011161544414591599,0.026181467773779516,0.0,0.0,0.029946901478354715,0.0011161544414591599,0.1245343041415093,0.0,-0.0007999374144201199,0.34637893207261683,3.4239002036509396e-54,0.0
0.16621866400055296,0.008985792943456243,0.001259793908453471,-0.0003629609968163823,0.03324381890946445,0.0,0.0,0.024290716425402214,0.0003629609968163823,0.1245343041415093,0.0,0.013840825794583048,0.34858752619343647,3.598346261286087e-54,0.0
0.16750024700013455,0.008985792943456243,0.001259793908453471,-0.0003629609968163823,0.033625321582142084,0.0,0.0,0.024671713605430738,0.0003629609968163823,0.1245343041415093,0.0,0.013840825794583048,0.39176150920891817,4.1470268880532317e-54,0.0
0.18615482600034738,0.011007472915334103,0.0012592052285009497,-0.00018061545411875244,0.041555926364233144,0.0,0.0,0.030574394612600846,0.00018061545411875244,0.1245343041415093,0.0,0.007204509428755719,0.3939550625970875,4.034229317752355e-54,0.0
0.18725706100030948,0.011007472915334103,0.0012592052285009497,-0.00018061545411875244,0.04200529477065231,0.0,0.0,0.031023387268019707,0.00018061545411875244,0.1245343041415093,0.0,0.007204509428755719,0.43698180887907917,4.636723340993837e-55,0.0
0.2062131100001352,0.013745039682348482,0.0012587924440566267,-0.00013722737474230735,0.05077060272065031,0.0,0.0,0.03704695502629705,0.00013722737474230735,0.1245343041415093,0.0,-0.0041632960104120665,0.43929134571615924,2.6051082718341853e-55,0.0
0.20718344900069496,0.013745039682348482,0.0012587924440566267,-0.00013722737474230735,0.05126783394368812,0.0,0.0,0.037543902935044414,0.00013722737474230735,0.1245343041415093,0.0,-0.0041632960104120665,0.48204547424252775,-1.9601707943754147e-54,0.0
0.22607700300068245,0.016325153522599438,0.0012583547388087682,-0.0002388974285509241,0.060911405695285505,0.0,0.0,0.044604005867803345,0.0002388974285509241,0.1245343041415093,0.0,-0.006478320545157974,0.4843547753148231,-1.9702462574572442e-54,0.0
0.22729122800046753,0.016325153522599438,0.0012583547388087682,-0.0002388974285509241,0.06145723534705307,0.0,0.0,0.04514962088941457,0.0002388974285509241,0.1245343041415093,0.0,-0.006478320545157974,0.5270861895027734,-3.5946170901840625e-55,0.0
0.24615851500038843,0.018485788745461935,0.0012577549006649114,-0.0003571919912481007,0.07142882924938924,0.0,0.0,0.05295797848474425,0.0003571919912481007,0.1245343041415093,0.0,-0.007519615902223042,0.5293988720557378,-2.0893333463547943e-55,0.0
0.24726199399992765,0.018485788745461935,0.0012577549006649114,-0.0003571919912481007,0.07260064582914645,0.0,0.0,0.05412947168204903,0.0003571919912481007,0.1245343041415093,0.0,-0.007519615902223042,0.5723043330347053,2.2047380644989085e-54,0.0
