measure,avgtime_ms,firsttime_ms
delauney10,0.00463185,0.03029
delauney100,0.17392,0.201601
delauney250,0.964075,1.02391
delaunay250rng,1.43438,1.44852
outliers100_0,0.837009,0.865253
outliers250_2,10.5539,10.5104
outliers250_10,10.8973,11.2524
outliers250_25,10.6345,10.761
outliers250_50,10.7341,10.8059
