module,scenario,avgtime_ms,firsttime_ms
planning,delauney10,0.00463185,0.03029
planning,delauney100,0.17392,0.201601
planning,delauney250,0.964075,1.02391
planning,delaunay250rng,1.43438,1.44852
planning,outliers100_0,0.837009,0.865253
planning,outliers250_2,10.5539,10.5104
planning,outliers250_10,10.8973,11.2524
planning,outliers250_25,10.6345,10.761
planning,outliers250_50,10.7341,10.8059
